tx,RevokeEncodedAccountKey,GenerateUUID,GetAccountBalance,SetValue,ValueDecoded,ProgramChecked,ProgramParsed,ValueEncoded,ProgramInterpreted,GetProgram,ValueExists,GetStorageUsed,function_or_loop_call,UpdateAccountContractCode,ContractFunctionInvoke,GetValue,EmitEvent,GetStorageCapacity,GetAccountContractCode,GetCode,AllocateStorageIndex,SetProgram,CreateAccount,AddEncodedAccountKey,GetAccountAvailableBalance,ResolveLocation,ms
convert int to string and concatenate it,0,1,0,343,13,7,7,0,5,29,0,3,205167,0,4,2094,3,3,6,6,0,7,0,0,0,12,101
load and save long string on signers address + convert int to string,0,1,0,387,14,1,1,1,5,20,0,3,657258,0,4,2097,3,3,0,0,0,1,0,0,0,3,314
add and remove key to/from account + reference tx,460,1,0,343,13,1,1,0,5,20,0,3,150442,0,4,2094,923,3,0,0,0,1,0,460,0,3,104
transfer tokens,0,2270,0,568,16,1,1,0,5,20,0,3,79417,0,4,2480,4541,3,0,0,0,1,0,0,0,3,227
borrow array from storage + get signer receiver,0,1,0,343,16,7,7,0,5,29,0,3,84640,0,4,2910,3,3,6,6,0,7,0,0,0,12,138
get signer vault + get account and get available balance,0,1,0,343,365,1,1,0,122,371,0,120,43120,0,121,56172,3,3,0,0,0,1,0,0,117,3,207
get account and get storage used + get signer vault,0,1,0,343,14,7,7,0,5,29,0,2060,9616,0,4,2235,3,3,6,6,0,7,0,0,0,12,32
add and remove key to/from account + convert int to string and concatenate it,379,1,0,343,13,1,1,0,5,20,0,3,246637,0,4,2094,761,3,0,0,0,1,0,379,0,3,165
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,87950,0,4,2358,3,3,0,0,0,1,0,0,0,3,183
emit event + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,254028,0,4,2251,14779,3,0,0,0,1,0,0,0,3,516
call empty contract function + load and save empty string on signers address,0,1,0,346,15,1,1,1,5,20,0,3,335422,0,4,2295,3,3,0,0,0,1,0,0,0,3,255
create new account and deploy contract + copy array from storage,0,205,0,56579,626,69,69,272,277,564,204,71,135560,68,140,96418,479,71,68,68,136,1,68,0,0,3,235
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,651958,0,4,2094,3,3,0,0,0,1,0,0,0,3,336
mint NFT + call empty contract function,0,1938,0,390235,17,1,1,0,6,23,0,4,233536,0,5,6725,3,4,0,0,1987,1,0,0,0,3,257
reference tx + transfer tokens,0,1520,0,568,16,1,1,0,5,20,0,3,91795,0,4,2480,3041,3,0,0,0,1,0,0,0,3,151
convert int to string + get public account,0,1,0,343,13,7,7,0,5,29,0,3,697860,0,4,2094,3,3,6,6,0,7,0,0,0,12,326
create new account,0,4,0,1072,22,1,1,3,7,28,3,4,6,0,6,3473,9,4,0,0,1,1,1,0,0,3,3
convert int to string + get account and get balance,0,1,43,343,142,1,1,0,48,235,0,3,65296,0,47,22691,3,3,0,0,0,1,0,0,0,3,43
add key to account + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,16097,0,4,3198,2374,3,0,0,163,1,0,2371,0,3,185
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,191160,0,4,2646,3,3,0,0,0,1,0,0,0,3,282
get account and get storage capacity,0,1,0,343,2113,1,1,0,705,2120,0,3,2802,0,704,324794,3,703,0,0,0,1,0,0,0,3,204
get signer receiver + get signer address,0,1,0,343,15,1,1,0,5,20,0,3,488161,0,4,2358,3,3,0,0,0,1,0,0,0,3,269
get account and get storage capacity + get public account,0,1,0,343,1489,1,1,0,497,1496,0,3,213516,0,496,228906,3,495,0,0,0,1,0,0,0,3,292
copy array from storage and save a duplicate + get account and get storage used,0,1,0,20522,15,1,1,1034,5,20,0,1036,5358,0,4,3198,3,3,0,0,47,1,0,0,0,3,31
borrow array from storage + get account and get available balance,0,1,0,343,1292,1,1,0,431,1298,0,429,74660,0,430,199032,3,3,0,0,0,1,0,0,426,3,250
add and remove key to/from account + reference tx,931,1,0,343,13,1,1,0,5,20,0,3,117371,0,4,2094,1865,3,0,0,0,1,0,931,0,3,152
load and save long string on signers address + create new account and deploy contract,0,91,0,25197,284,31,31,121,125,260,90,33,220972,30,64,43508,213,33,30,30,60,1,30,0,0,3,207
create new account,0,661,0,160723,1993,1,1,660,445,1780,660,223,882,0,444,305474,1323,223,0,0,220,1,220,0,0,3,269
mint NFT,0,4903,0,972893,17,1,1,0,6,23,0,4,58826,0,5,5977,3,4,0,0,5028,1,0,0,0,3,215
convert int to string + get account and get storage capacity,0,1,0,343,979,1,1,0,327,986,0,3,325624,0,326,150536,3,325,0,0,0,1,0,0,0,3,199
create new account + load and save long string on signers address,0,235,0,57249,716,1,1,235,161,644,234,81,24238,0,160,109700,471,81,0,0,78,1,78,0,0,3,116
get account and get available balance,0,1,0,343,3061,1,1,0,1021,3068,0,1019,4066,0,1020,470470,3,3,0,0,0,1,0,0,1016,3,335
convert int to string and concatenate it + get account and get available balance,0,1,0,343,217,7,7,0,73,233,0,71,75316,0,72,33442,3,3,6,6,0,7,0,0,68,12,68
borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,244774,0,4,2646,3,3,0,0,0,1,0,0,0,3,412
copy array from storage and save a duplicate,0,1,0,895,15,7,7,1,5,29,0,3,20516,0,4,3198,3,3,6,6,789,7,0,0,0,12,40
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,362102,0,4,2094,3,3,0,0,0,1,0,0,0,3,145
add and remove key to/from account + get account and get storage used,1415,1,0,343,13,1,1,0,5,20,0,10746,52881,0,4,2094,2833,3,0,0,0,1,0,1415,0,3,1211
get signer address + call empty contract function,0,1,0,343,14,7,7,0,5,29,0,3,424991,0,4,2251,3,3,6,6,0,7,0,0,0,12,203
get signer address + get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,408762,0,4,2235,3,3,0,0,0,1,0,0,0,3,344
add and remove key to/from account + create new account,500,316,0,76888,958,1,1,315,215,860,315,108,3924,0,214,146889,1633,108,0,0,105,1,105,500,0,3,213
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,36442,0,4,2094,3,3,0,0,0,1,0,0,0,3,13
get signer receiver + call empty contract function,0,1,0,343,16,1,1,0,5,20,0,3,69220,0,4,2513,3,3,0,0,0,1,0,0,0,3,112
get signer vault + add key to account,0,1,0,343,14,1,1,0,5,20,0,3,4513,0,4,2235,504,3,0,0,0,1,0,501,0,3,49
get signer receiver + get account and get available balance,0,1,0,343,741,1,1,0,247,746,0,245,72810,0,246,113920,3,3,0,0,0,1,0,0,242,3,217
copy array from storage and save a duplicate + emit event,0,1,0,895,16,1,1,1,5,20,0,3,85954,0,4,3355,13691,3,0,0,147,1,0,0,0,3,102
get public account,0,1,0,343,13,1,1,0,5,20,0,3,361778,0,4,2094,3,3,0,0,0,1,0,0,0,3,261
copy array from storage + get public account,0,1,0,343,14,1,1,0,5,20,0,3,428472,0,4,2646,3,3,0,0,0,1,0,0,0,3,351
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,339022,0,4,2646,3,3,0,0,0,1,0,0,0,3,307
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,14042,0,4,2251,3,3,0,0,0,1,0,0,0,3,14
borrow array from storage + convert int to string,0,1,0,343,14,1,1,0,5,20,0,3,13030,0,4,2646,3,3,0,0,0,1,0,0,0,3,19
add and remove key to/from account + get signer vault,211,1,0,343,14,1,1,0,5,20,0,3,91405,0,4,2235,425,3,0,0,0,1,0,211,0,3,164
reference tx + get account and get available balance,0,1,0,343,601,1,1,0,201,608,0,199,121920,0,200,92450,3,3,0,0,0,1,0,0,196,3,112
call empty contract function + add and remove key to/from account,867,1,0,343,14,1,1,0,5,20,0,3,11117,0,4,2249,1737,3,0,0,0,1,0,867,0,3,115
get account and get available balance + convert int to string,0,1,0,343,1663,1,1,0,555,1670,0,553,466604,0,554,255644,3,3,0,0,0,1,0,0,550,3,343
get account and get balance,0,1,119,343,370,1,1,0,124,615,0,3,478,0,123,59095,3,3,0,0,0,1,0,0,0,3,51
load and save empty string on signers address + get public account,0,1,0,346,14,1,1,1,5,20,0,3,246786,0,4,2138,3,3,0,0,0,1,0,0,0,3,391
borrow array from storage + load and save long string on signers address,0,1,0,387,15,1,1,1,5,20,0,3,316482,0,4,2690,3,3,0,0,0,1,0,0,0,3,310
create new account,0,121,0,29503,373,1,1,120,85,340,120,43,162,0,84,57254,243,43,0,0,40,1,40,0,0,3,56
get account and get balance,0,1,208,343,637,1,1,0,213,1060,0,3,834,0,212,101726,3,3,0,0,0,1,0,0,0,3,86
call empty contract function + load and save empty string on signers address,0,1,0,346,15,1,1,1,5,20,0,3,215292,0,4,2254,3,3,0,0,0,1,0,0,0,3,166
convert int to string + load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,438870,0,4,2138,3,3,0,0,0,1,0,0,0,3,209
get account and get storage used + create new account and deploy contract,0,355,0,97929,1075,119,119,472,477,964,354,13225,53246,118,240,164816,829,121,118,118,236,1,118,0,0,3,350
get signer address + transfer tokens,0,736,0,568,16,1,1,0,5,20,0,3,253111,0,4,2480,1473,3,0,0,0,1,0,0,0,3,145
create new account and deploy contract + get account and get balance,0,343,314,94619,1981,115,115,456,775,2502,342,117,2058,114,546,309706,801,117,114,114,228,1,114,0,0,3,334
create new account and deploy contract + get account and get balance,0,349,455,96273,2422,117,117,464,924,3223,348,119,2636,116,691,380003,815,119,116,116,232,1,116,0,0,3,332
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,16200,0,4,3198,3,3,0,0,623,1,0,0,0,3,31
mint NFT + get account and get storage capacity,0,3210,0,643559,2258,1,1,0,753,2264,0,4,41500,0,752,351075,3,751,0,0,3292,1,0,0,0,3,320
emit event + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,7043,32178,0,4,2251,672,3,0,0,0,1,0,0,0,3,218
transfer tokens + get account and get available balance,0,1475,0,568,70,1,1,0,23,74,0,21,51666,0,22,10778,2951,3,0,0,0,1,0,0,18,3,139
borrow array from storage + transfer tokens,0,972,0,568,17,1,1,0,5,20,0,3,123089,0,4,3032,1945,3,0,0,0,1,0,0,0,3,205
borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,258898,0,4,2646,3,3,0,0,0,1,0,0,0,3,513
get account and get balance + get account and get storage capacity,0,1,196,343,1207,1,1,0,403,1606,0,3,1596,0,402,189100,3,205,0,0,0,1,0,0,0,3,139
copy array from storage + get account and get storage capacity,0,1,0,343,1484,1,1,0,495,1490,0,3,134250,0,494,228536,3,493,0,0,0,1,0,0,0,3,265
get signer receiver + convert int to string and concatenate it,0,1,0,343,15,7,7,0,5,29,0,3,222777,0,4,2358,3,3,6,6,0,7,0,0,0,12,286
copy array from storage and save a duplicate + get signer receiver,0,1,0,895,17,1,1,1,5,20,0,3,87410,0,4,3462,3,3,0,0,74,1,0,0,0,3,450
convert int to string and concatenate it + get account and get available balance,0,1,0,343,1948,1,1,0,650,1955,0,648,129014,0,649,299439,3,3,0,0,0,1,0,0,645,3,255
copy array from storage + emit event,0,1,0,343,15,1,1,0,5,20,0,3,254610,0,4,2803,17493,3,0,0,0,1,0,0,0,3,292
add key to account + get account and get storage capacity,0,1,0,343,1834,1,1,0,612,1841,0,3,3247,0,611,281921,166,610,0,0,0,1,0,163,0,3,187
load and save long string on signers address + add key to account,0,1,0,387,14,1,1,1,5,20,0,3,187702,0,4,2097,1509,3,0,0,0,1,0,1506,0,3,241
create new account and deploy contract + copy array from storage,0,406,0,111988,1229,136,136,540,545,1100,405,138,57159,135,274,188811,948,138,135,135,270,1,135,0,0,3,261
get public account,0,1,0,343,13,1,1,0,5,20,0,3,23938,0,4,2094,3,3,0,0,0,1,0,0,0,3,21
get public account,0,1,0,343,13,1,1,0,5,20,0,3,379526,0,4,2094,3,3,0,0,0,1,0,0,0,3,385
create new account and deploy contract,0,40,0,11094,130,14,14,52,57,124,39,16,93,13,30,20021,94,16,13,13,26,1,13,0,0,3,24
load and save empty string on signers address + create new account,0,334,0,81043,1013,1,1,334,227,908,333,114,154468,0,226,154944,669,114,0,0,111,1,111,0,0,3,341
create new account + reference tx,0,91,0,22213,283,1,1,90,65,260,90,33,43798,0,64,43464,183,33,0,0,30,1,30,0,0,3,52
get account and get balance + transfer tokens,0,786,136,568,424,1,1,0,141,700,0,3,28023,0,140,67624,1573,3,0,0,0,1,0,0,0,3,148
emit event + copy array from storage and save a duplicate,0,1,0,895,16,1,1,1,5,20,0,3,16556,0,4,3353,504,3,0,0,521,1,0,0,0,3,35
get account and get storage capacity + load and save empty string on signers address,0,1,0,346,1394,1,1,1,465,1400,0,3,243998,0,464,214157,3,463,0,0,0,1,0,0,0,3,385
create new account and deploy contract + copy array from storage and save a duplicate,0,241,0,67054,735,81,81,321,325,660,240,83,1630,80,164,113518,563,83,80,80,201,1,80,0,0,3,122
create new account and deploy contract + get public account,0,289,0,79735,877,97,97,384,389,788,288,99,24584,96,196,134478,675,99,96,96,192,1,96,0,0,3,218
mint NFT + get signer address,0,4259,0,852100,17,1,1,0,6,23,0,4,185770,0,5,6394,3,4,0,0,4367,1,0,0,0,3,221
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,392910,0,4,2094,3,3,0,0,0,1,0,0,0,3,147
add and remove key to/from account + mint NFT,171,1239,0,250659,17,1,1,0,6,23,0,4,16057,0,5,6372,345,4,0,0,1269,1,0,171,0,3,148
convert int to string + transfer tokens,0,1449,0,568,16,1,1,0,5,20,0,3,199664,0,4,2480,2899,3,0,0,0,1,0,0,0,3,188
get account and get available balance + load and save empty string on signers address,0,1,0,346,2060,1,1,1,687,2066,0,685,197846,0,686,316540,3,3,0,0,0,1,0,0,682,3,512
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,385027,0,4,2094,3,3,0,0,0,1,0,0,0,3,184
mint NFT + emit event,0,3123,0,625894,17,1,1,0,6,23,0,4,136654,0,5,6404,16534,4,0,0,3202,1,0,0,0,3,427
emit event + copy array from storage,0,1,0,343,15,7,7,0,5,29,0,3,273428,0,4,2803,14880,3,6,6,0,7,0,0,0,12,281
borrow array from storage + get signer address,0,1,0,343,14,1,1,0,5,20,0,3,525905,0,4,2646,3,3,0,0,0,1,0,0,0,3,297
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,78058,0,4,2094,3,3,0,0,0,1,0,0,0,3,25
transfer tokens + create new account and deploy contract,0,562,0,67554,745,88,88,324,329,677,243,84,11701,81,166,114179,1206,84,87,87,162,7,81,0,0,12,151
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,7363,29442,0,4,2094,3,3,0,0,0,1,0,0,0,3,94
emit event,0,1,0,343,14,1,1,0,5,20,0,3,194720,0,4,2251,32456,3,0,0,0,1,0,0,0,3,240
get account and get storage capacity + reference tx,0,1,0,343,37,1,1,0,13,44,0,3,63464,0,12,5782,3,11,0,0,0,1,0,0,0,3,24
get signer receiver + transfer tokens,0,156,0,568,16,1,1,0,5,20,0,3,16541,0,4,2480,313,3,0,0,0,1,0,0,0,3,39
get signer vault + get account and get balance,0,1,487,343,1475,1,1,0,492,2455,0,3,91696,0,491,235508,3,3,0,0,0,1,0,0,0,3,405
get account and get available balance,0,1,0,343,1573,1,1,0,525,1580,0,523,2082,0,524,241814,3,3,0,0,0,1,0,0,520,3,210
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,180026,0,4,2358,3,3,0,0,0,1,0,0,0,3,364
copy array from storage and save a duplicate + add key to account,0,1,0,895,15,1,1,1,5,20,0,3,15948,0,4,3198,2417,3,0,0,149,1,0,2414,0,3,183
create new account and deploy contract,0,388,0,107026,1174,130,130,516,521,1052,387,132,905,129,262,179985,906,132,129,129,258,1,129,0,0,3,195
convert int to string and concatenate it + create new account,0,367,0,89281,1111,1,1,366,249,996,366,125,156212,0,248,170332,735,125,0,0,122,1,122,0,0,3,220
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,180806,0,4,2358,3,3,0,0,0,1,0,0,0,3,375
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,232210,0,4,2094,3,3,0,0,0,1,0,0,0,3,86
transfer tokens + get signer receiver,0,1433,0,568,16,1,1,0,5,20,0,3,103728,0,4,2480,2867,3,0,0,0,1,0,0,0,3,272
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,469604,0,4,2094,3,3,0,0,0,1,0,0,0,3,154
get public account + get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,11417,186404,0,4,2094,3,3,0,0,0,1,0,0,0,3,254
add key to account + get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,8697,37730,0,4,2094,593,3,0,0,0,1,0,590,0,3,321
get account and get available balance,0,1,0,343,2683,1,1,0,895,2690,0,893,3562,0,894,412384,3,3,0,0,0,1,0,0,890,3,263
borrow array from storage + add key to account,0,1,0,343,14,1,1,0,5,20,0,3,97752,0,4,2646,2221,3,0,0,0,1,0,2218,0,3,273
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,21851,87394,0,4,2094,3,3,0,0,0,1,0,0,0,3,298
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,247344,0,4,2094,3,3,0,0,0,1,0,0,0,3,93
transfer tokens,0,1002,0,568,16,1,1,0,5,20,0,3,35037,0,4,2480,2005,3,0,0,0,1,0,0,0,3,120
copy array from storage + get signer vault,0,1,0,343,15,1,1,0,5,20,0,3,93192,0,4,2787,3,3,0,0,0,1,0,0,0,3,299
add and remove key to/from account,3148,1,0,343,13,1,1,0,5,20,0,3,22038,0,4,2094,6299,3,0,0,0,1,0,3148,0,3,454
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,240839,0,4,2094,3,3,0,0,0,1,0,0,0,3,80
call empty contract function + get signer receiver,0,1,0,343,16,1,1,0,5,20,0,3,99696,0,4,2515,3,3,0,0,0,1,0,0,0,3,115
create new account and deploy contract + borrow array from storage,0,397,0,109505,1202,133,133,528,533,1076,396,135,37866,132,268,184674,927,135,132,132,264,1,132,0,0,3,247
copy array from storage + get account and get available balance,0,1,0,343,287,1,1,0,96,293,0,94,175994,0,95,44597,3,3,0,0,0,1,0,0,91,3,195
get account and get available balance + get signer address,0,1,0,343,766,1,1,0,256,773,0,254,2511,0,255,117805,3,3,0,0,0,1,0,0,251,3,114
convert int to string and concatenate it + get account and get balance,0,1,117,343,364,1,1,0,122,605,0,3,5367,0,121,58137,3,3,0,0,0,1,0,0,0,3,67
get public account + get account and get balance,0,1,161,343,496,1,1,0,166,825,0,3,83640,0,165,79213,3,3,0,0,0,1,0,0,0,3,137
reference tx + borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,589710,0,4,2646,3,3,0,0,0,1,0,0,0,3,314
convert int to string + get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,242028,0,4,2235,3,3,0,0,0,1,0,0,0,3,107
reference tx + get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,114784,0,4,2358,3,3,0,0,0,1,0,0,0,3,72
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,625722,0,4,2094,3,3,0,0,0,1,0,0,0,3,303
emit event + get account and get available balance,0,1,0,343,1238,1,1,0,413,1244,0,411,16816,0,412,190339,2533,3,0,0,0,1,0,0,408,3,440
mint NFT,0,8553,0,1706922,17,1,1,0,6,23,0,4,102626,0,5,6060,3,4,0,0,8772,1,0,0,0,3,342
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,389882,0,4,2138,3,3,0,0,0,1,0,0,0,3,283
transfer tokens + get account and get balance,0,1977,115,568,361,1,1,0,120,595,0,3,69624,0,119,57565,3955,3,0,0,0,1,0,0,0,3,325
get account and get storage capacity,0,1,0,343,2821,1,1,0,941,2828,0,3,3746,0,940,433590,3,939,0,0,0,1,0,0,0,3,258
get signer address + convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,232501,0,4,2094,3,3,0,0,0,1,0,0,0,3,84
get account and get balance + reference tx,0,1,192,343,589,1,1,0,197,980,0,3,155696,0,196,94062,3,3,0,0,0,1,0,0,0,3,148
convert int to string and concatenate it + load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,342727,0,4,2138,3,3,0,0,0,1,0,0,0,3,225
load and save long string on signers address + reference tx,0,1,0,387,14,1,1,1,5,20,0,3,686190,0,4,2097,3,3,0,0,0,1,0,0,0,3,294
add and remove key to/from account + borrow array from storage,539,1,0,343,14,1,1,0,5,20,0,3,32509,0,4,2646,1081,3,0,0,0,1,0,539,0,3,103
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,46272,0,4,2094,3,3,0,0,0,1,0,0,0,3,27
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,567280,0,4,2094,3,3,0,0,0,1,0,0,0,3,177
get signer address + get account and get balance,0,1,318,343,967,1,1,0,323,1610,0,3,34138,0,322,154416,3,3,0,0,0,1,0,0,0,3,128
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,279410,0,4,2138,3,3,0,0,0,1,0,0,0,3,205
