tx,1003,2025,2018,2027,2015,1010,1026,2008,2005,1011,2006,2007,2020,2011,2024,1012,1002,2022,2004,2017,1001,2026,2009,2010,2019,1025,x
convert int to string and concatenate it + copy array from storage,90646,9,0,0,8,0,700,0,0,0,0,0,4001,8,0,0,45708,5,0,8,91630,0,0,0,0,0,379
get account and get storage capacity + load and save long string on signers address,31742,1869,310,0,1868,0,0,0,0,0,0,0,709028,1868,0,0,15406,625,0,1558,46842,1189,0,0,0,0,212
convert int to string,57333,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,57333,5,0,8,114668,0,0,0,0,0,140
convert int to string and concatenate it + get signer address,81928,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,99476,5,0,8,198956,0,0,0,0,0,240
transfer tokens + get signer vault,60263,9,0,0,8,6594,0,2198,0,6594,0,4396,3949,8,0,2198,38283,5,0,8,122728,225,0,0,0,0,737
add key to account + create new account,2032,239,0,0,238,0,73803,0,0,0,10,1021,2394,238,0,0,1021,185,1011,188,2046,0,0,0,0,1011,117
reference tx + call empty contract function,14935,9,0,0,8,0,0,0,0,0,0,0,2615,8,0,0,37179,5,0,8,52118,0,0,0,0,0,133
add and remove key to/from account + get account and get storage capacity,1021,65,8,0,64,0,23871,0,0,0,0,654,20520,64,327,0,335,37,327,64,1025,0,0,0,0,654,49
create new account and deploy contract + convert int to string and concatenate it,137309,669,0,33,701,33,1221,0,66,0,33,66,41895,701,0,0,68638,335,0,338,137313,5445,0,0,0,66,423
convert int to string,144157,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,144157,5,0,8,288316,0,0,0,0,0,354
get signer receiver,28089,9,0,0,8,0,0,0,0,0,0,0,4055,8,0,0,9363,5,0,8,18728,0,0,0,0,0,245
create new account and deploy contract,552,3321,0,184,3504,184,6808,0,368,0,184,368,222642,3504,0,0,184,1109,0,1112,554,30359,0,0,0,368,339
copy array from storage and save a duplicate,3009,9,0,0,8,0,25070,0,1003,0,0,0,4022,8,0,0,6018,5,0,8,17053,1722,0,0,0,0,65
get signer address,0,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,40011,5,0,8,80024,0,0,0,0,0,75
get account and get storage used + borrow array from storage,23232,9,0,0,8,0,0,0,0,0,0,0,4124,8,0,0,58707,5,0,8,138703,0,0,0,16137,0,473
create new account + get account and get available balance,2962,3561,0,0,3560,0,0,0,0,0,102,102,665056,3560,0,0,388,1189,0,2050,3926,0,286,0,286,0,251
get signer vault + get public account,25299,9,0,0,8,0,0,0,0,0,0,0,3590,8,0,0,25299,5,0,8,50602,0,0,0,0,0,174
load and save empty string on signers address + borrow array from storage,47464,9,0,0,8,0,0,0,0,0,0,0,4001,8,0,0,25118,5,0,8,74602,1148,0,0,0,0,339
create new account and deploy contract + borrow array from storage,5151,1776,0,93,1868,93,3441,0,186,0,93,186,115445,1868,0,0,29325,935,0,938,73363,15345,0,0,0,186,367
mint NFT + create new account and deploy contract,4879,1179,0,65,1243,1236,2405,1171,1332,3513,65,130,83368,1243,0,0,1236,395,0,398,8396,242361,0,0,0,130,229
mint NFT,23364,9,0,0,8,5841,0,5841,5992,17523,0,0,5890,8,0,0,5841,5,0,8,40889,1154957,0,0,0,0,306
copy array from storage and save a duplicate,7848,9,0,0,8,0,65400,0,2616,0,0,0,4534,8,0,0,15696,5,0,8,44474,1681,0,0,0,0,185
get signer receiver + call empty contract function,12456,9,0,0,8,0,0,0,0,0,0,0,4153,8,0,0,11220,5,0,8,22444,0,0,0,0,0,111
get account and get storage used + load and save long string on signers address,111143,9,0,0,8,0,0,0,0,0,0,0,3366,8,0,0,63640,5,0,8,174787,1155,0,0,16137,0,937
get account and get storage used,7561,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,7561,5,0,8,15124,0,0,0,7561,0,88
emit event,18700,9,0,0,8,9350,0,0,0,0,0,9350,2533,8,0,0,9350,5,0,8,28052,0,0,0,0,0,77
emit event + create new account,53562,3239,0,0,3238,26696,0,0,0,0,170,26866,2615,3238,0,0,26866,1705,0,1708,80432,0,0,0,0,0,650
reference tx,0,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,37928,5,0,8,37930,0,0,0,0,0,40
get signer address + get signer vault,15213,9,0,0,8,0,0,0,0,0,0,0,3713,8,0,0,76301,5,0,8,152606,0,0,0,0,0,233
get account and get storage used + borrow array from storage,14898,9,0,0,8,0,0,0,0,0,0,0,4124,8,0,0,28513,5,0,8,65199,0,0,0,12175,0,439
get account and get storage used + load and save empty string on signers address,30245,9,0,0,8,0,0,0,0,0,0,0,3591,8,0,0,16797,5,0,8,47046,1148,0,0,3349,0,222
create new account and deploy contract,153,927,0,51,977,51,1887,0,102,0,51,102,61268,977,0,0,51,311,0,314,155,8415,0,0,0,102,88
get account and get balance + get account and get storage used,4199,6831,0,0,6830,0,0,0,0,0,0,0,886601,6830,0,0,3441,2279,0,4177,7644,0,0,379,3062,0,378
get signer receiver + convert int to string and concatenate it,161636,9,0,0,8,0,0,0,0,0,0,0,4055,8,0,0,76747,5,0,8,153498,0,0,0,0,0,577
get account and get storage used + call empty contract function,16185,9,0,0,8,0,0,0,0,0,0,0,2617,8,0,0,16185,5,0,8,32374,0,0,0,12172,0,147
mint NFT + create new account and deploy contract,12351,1323,0,73,1395,3106,2701,3033,3256,9099,73,146,89646,1395,0,0,3106,443,0,446,21454,612805,0,0,0,146,346
create new account + get signer vault,13862,171,0,0,170,0,0,0,0,0,9,9,3713,170,0,0,13862,59,0,62,27728,0,0,0,0,0,159
transfer tokens,14234,9,0,0,8,3882,0,1294,0,3882,0,2588,4117,8,0,1294,1294,5,0,8,29764,225,0,0,0,0,160
transfer tokens + emit event,77570,9,0,0,8,33290,0,2198,0,6594,0,31092,4357,8,0,2198,28894,5,0,8,130646,225,0,0,0,0,764
create new account,194,3695,0,0,3694,0,0,0,0,0,194,194,2394,3694,0,0,194,1945,0,1948,390,0,0,0,0,0,255
transfer tokens + copy array from storage and save a duplicate,1673,9,0,0,8,255,6150,85,246,255,0,170,5306,8,0,85,1561,5,0,8,6141,1947,0,0,0,0,36
mint NFT + convert int to string,90640,9,0,0,8,1014,0,1014,1040,3042,0,0,5241,8,0,0,87598,5,0,8,180270,200730,0,0,0,0,349
call empty contract function + get account and get storage used,13281,9,0,0,8,0,0,0,0,0,0,0,2533,8,0,0,13281,5,0,8,26566,0,0,0,7261,0,133
add and remove key to/from account,204,9,0,0,8,0,4964,0,0,0,0,136,2312,8,68,0,68,5,68,8,206,0,0,0,0,136,11
get account and get storage used + add and remove key to/from account,20574,9,0,0,8,0,107967,0,0,0,0,2958,2312,8,1479,0,17616,5,1479,8,36715,0,0,0,16137,2958,554
get signer vault + get signer address,13492,9,0,0,8,0,0,0,0,0,0,0,3590,8,0,0,17696,5,0,8,35396,0,0,0,0,0,131
create new account + get public account,39297,333,0,0,332,0,0,0,0,0,18,18,2394,332,0,0,39297,113,0,116,78598,0,0,0,0,0,250
