tx,TransferCompositeValue,GetCode,GetAccountAvailableBalance,GetValue,GetStorageUsed,RLPDecoding,AllocateStorageIndex,DestroyCompositeValue,TransferArrayValue,GetCurrentBlockHeight,EmitEvent,EncodeValue,CreateAccount,EncodeEvent,GetAccountBalance,UpdateAccountContractCode,EVMGasUsage,Statement,CreateArrayValue,GetBlockAtHeight,GetStorageCapacity,CreateCompositeValue,AddEncodedAccountKey,RevokeEncodedAccountKey,GetAccountContractCode,TransferDictionaryValue,FunctionInvocation,ResolveLocation,GetOrLoadProgram,SetValue,CreateDictionaryValue,GenerateUUID,Loop,estimated,ms
create new account,0,73,0,0,0,0,0,0,0,0,3190,0,58,58,0,0,0,118,0,0,0,0,0,0,73,0,58,65,74,0,0,0,58,234,26
load and save empty string on signers address + copy array from storage,0,37,0,1827,0,0,0,0,134970,0,0,1271,0,0,0,0,0,217561,0,0,0,0,0,0,37,0,23565,35,44,1286,0,0,86016,327142,180
get signer address + add and remove key to/from account,0,37,0,0,0,0,0,0,147898,0,873206,0,0,4052,0,0,0,15028,4052,0,0,0,2026,2026,37,0,6078,35,44,0,0,0,6499,27605,112
load and save empty string on signers address + convert int to string,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,46061,0,0,0,0,0,0,37,0,27208,35,44,1286,0,0,18849,92118,52
emit event,0,37,0,221,0,0,0,0,0,0,717402,0,0,12586,0,0,0,37760,0,0,0,12586,0,0,37,0,25172,35,44,0,0,0,12586,75518,85
get signer vault + convert int to string,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,51760,0,0,0,0,0,0,37,0,25878,35,44,0,0,0,25878,103516,43
add key to account,0,37,0,0,0,0,0,0,389674,0,1136994,0,0,5338,0,0,0,10678,5338,0,0,0,5338,0,37,0,10676,35,44,0,0,0,5338,26692,148
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,9498,0,0,0,0,0,0,37,0,4748,35,44,0,0,0,4748,18994,15
copy array from storage and save a duplicate,0,37,0,3401,0,0,6493,0,162325,0,0,1585,0,0,0,0,0,110383,0,0,0,0,0,0,37,0,19479,35,44,1608,0,0,38958,168820,145
get signer vault + decode hex,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,168,0,0,0,0,0,37,0,868,35,44,0,0,0,868,3476,3
add and remove key to/from account,0,37,0,0,0,0,0,0,439241,0,2593327,0,0,12034,0,0,0,18053,12034,0,0,0,6017,6017,37,0,18051,35,44,0,0,0,6017,42121,238
borrow array from storage + decode hex,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,116318,2597,0,0,0,0,0,37,0,10005,35,44,0,0,0,47045,173368,172
convert int to string + add key to account,0,37,0,0,0,0,0,0,72270,0,210870,0,0,990,0,0,0,4534,990,0,0,0,990,0,37,0,3255,35,44,0,0,0,2265,10054,30
transfer tokens + create new account and deploy contract,456,729,0,1420643,0,0,1310,152,24235,0,174992,56397,655,1614,0,655,0,5465,1310,0,0,1111,0,0,729,0,3637,69,78,108193,0,152,807,9909,366
load and save empty string on signers address + create new account,0,74,0,1294,0,0,0,0,0,0,9130,1271,166,166,0,0,0,13518,0,0,0,0,0,0,74,0,8954,69,78,1286,0,0,4560,27032,70
call empty contract function + convert int to string and concatenate it,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,36080,0,0,0,0,0,0,37,0,33254,35,44,0,0,0,18038,87372,43
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,37,0,941,35,44,0,0,0,941,3766,4
load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,55088,0,0,0,0,0,0,37,0,36724,35,44,1327,0,0,18362,110174,68
load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,37409,0,0,0,0,0,0,37,0,24938,35,44,1327,0,0,12469,74816,42
borrow array from storage,0,37,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,35717,0,0,0,0,0,0,37,0,2381,35,44,0,0,0,14286,52384,43
emit event,0,37,0,221,0,0,0,0,0,0,479997,0,0,8421,0,0,0,25265,0,0,0,8421,0,0,37,0,16842,35,44,0,0,0,8421,50528,30
add key to account,0,37,0,0,0,0,0,0,115559,0,337179,0,0,1583,0,0,0,3168,1583,0,0,0,1583,0,37,0,3166,35,44,0,0,0,1583,7917,46
add and remove key to/from account + get signer address,0,37,0,0,0,0,0,0,103660,0,612020,0,0,2840,0,0,0,7446,2840,0,0,0,1420,1420,37,0,4260,35,44,0,0,0,3011,14717,60
add and remove key to/from account + get public account,0,37,0,0,0,0,0,0,240024,0,1417128,0,0,6576,0,0,0,28142,6576,0,0,0,3288,3288,37,0,19001,35,44,0,0,0,12425,59568,160
borrow array from storage + get account and get balance,0,74,0,6504345,0,0,0,0,0,0,0,0,0,0,2403,0,0,20377,0,0,0,0,0,0,74,0,7606,69,21705,0,0,0,4785,32768,332
get public account + get account and get balance,0,74,0,2679630,0,0,0,0,0,0,0,0,0,0,998,0,0,239574,0,0,0,0,0,0,74,0,119785,69,9060,0,0,0,117789,477148,569
mint NFT + convert int to string and concatenate it,309,37,0,3244,0,0,106,0,0,0,0,17712,0,0,0,0,0,4947,0,0,0,103,0,0,37,0,4634,35,44,23894,0,103,2214,11795,6
convert int to string + load and save empty string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,19313,0,0,0,0,0,0,37,0,11651,35,44,1286,0,0,7658,38622,20
copy array from storage + get signer receiver,0,37,0,2487,0,0,0,0,101620,0,0,0,0,0,0,0,0,167726,0,0,0,0,0,0,37,0,33100,35,44,0,0,0,68618,269444,198
borrow array from storage + decode hex,0,37,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,207135,17638,0,0,0,0,0,37,0,29095,35,44,0,0,0,86380,322610,355
get signer address + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45458,0,0,0,0,0,0,37,0,12292,35,44,0,0,0,22727,80477,18
add and remove key to/from account + copy array from storage,0,37,0,1868,0,0,0,0,273071,0,895187,0,0,4154,0,0,0,188410,4154,0,0,0,2077,2077,37,0,18376,35,44,0,0,0,74947,281733,225
get signer receiver + add and remove key to/from account,0,37,0,1954,0,0,0,0,108478,0,640466,0,0,2972,0,0,0,4578,2972,0,0,0,1486,1486,37,0,4632,35,44,0,0,0,1544,10754,65
emit event + copy array from storage,0,37,0,2089,0,0,0,0,35040,0,45885,0,0,805,0,0,0,54979,0,0,0,805,0,0,37,0,5114,35,44,0,0,0,21829,81922,52
create new account,0,73,0,0,0,0,0,0,0,0,57750,0,1050,1050,0,0,0,2102,0,0,0,0,0,0,73,0,1050,65,74,0,0,0,1050,4202,394
get account and get balance + transfer tokens,4992,74,0,1133021,0,0,0,1664,0,0,309504,67,0,3328,418,0,0,40784,0,0,0,4992,0,0,74,0,19558,69,3840,122,0,1664,2082,62424,154
load and save empty string on signers address + convert int to string,0,37,0,1335,0,0,0,0,0,0,0,1271,0,0,0,0,0,22756,0,0,0,0,0,0,37,0,13650,35,44,1286,0,0,9102,45508,22
borrow array from storage + decode hex,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,156224,13295,0,0,0,0,0,37,0,21937,35,44,0,0,0,65147,243308,196
get public account + get account and get available balance,0,37,1491,4010790,1491,0,0,0,0,0,0,0,0,0,0,0,0,26995,0,0,0,0,0,0,37,0,18714,35,10481,0,0,0,2313,48022,192
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,1651,0,0,0,0,0,37,0,1651,35,44,0,0,0,1651,6606,7
reference tx + get account and get storage used,0,37,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,84469,0,0,0,0,0,0,37,0,651,35,44,0,0,0,83814,168934,40
transfer tokens + convert int to string and concatenate it,2589,37,0,1913,0,0,0,863,0,0,160518,67,0,1726,0,0,0,22089,0,0,0,2589,0,0,37,0,11729,35,44,122,0,863,1981,35799,47
copy array from storage and save a duplicate,0,37,0,3401,0,0,3214,0,80350,0,0,1585,0,0,0,0,0,54640,0,0,0,0,0,0,37,0,9642,35,44,1608,0,0,19284,83566,71
get public account + create and destroy EVM bridged account,9488,37,0,38609,0,0,0,4744,284640,0,0,0,0,0,0,0,0,48642,4744,0,0,4744,0,0,37,0,26691,35,44,37952,0,4744,17203,92536,135
borrow array from storage,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,57557,0,0,0,0,0,0,37,0,3837,35,44,0,0,0,23022,84416,62
copy array from storage,0,37,0,1868,0,0,0,0,44420,0,0,0,0,0,0,0,0,66632,0,0,0,0,0,0,37,0,4442,35,44,0,0,0,26652,97726,64
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,20884,0,0,0,0,0,0,37,0,10441,35,44,0,0,0,10441,41766,32
get account and get storage capacity,0,37,0,5495670,0,0,0,0,0,0,0,0,0,0,0,0,0,18389,0,0,2043,0,0,0,37,0,14301,35,14345,0,0,0,2043,34733,257
get account and get storage capacity + add key to account,0,37,0,5254444,0,0,0,0,302877,0,883737,0,0,4149,0,0,0,25618,4149,0,1924,0,4149,0,37,0,21766,35,13512,0,0,0,6073,53457,345
create new account and deploy contract + get signer address,0,729,0,1418730,0,0,1310,0,24235,0,146720,56330,655,1310,0,655,0,5823,1310,0,0,655,0,0,729,0,1965,69,78,108072,0,0,2582,10370,319
mint NFT + get account and get storage capacity,19554,37,0,783088,0,0,6686,0,0,0,0,929311,0,0,0,0,0,48240,0,0,290,6518,0,0,37,0,28102,35,2074,1313978,0,6518,6808,83150,394
create new account + call empty contract function,0,73,0,223,0,0,0,0,0,0,38995,0,709,709,0,0,0,31926,0,0,0,0,0,0,73,0,15961,65,74,0,0,0,15961,63848,305
create new account and deploy contract + create and destroy EVM bridged account,3676,877,0,1756825,0,0,1608,1838,140028,0,180096,69144,804,1608,0,804,0,11606,3446,0,0,2642,0,0,877,0,7926,65,74,147362,0,1838,2642,22174,473
create and destroy EVM bridged account + get account and get available balance,7288,37,1447,3981566,1447,0,0,3644,218640,0,0,0,0,0,0,0,0,42823,3644,0,0,3644,0,0,37,0,28296,35,10173,29152,0,3644,5091,76210,239
mint NFT + decode hex,3342,37,0,1819,0,0,1141,0,0,0,0,159918,0,0,0,0,0,9144,671,0,0,1114,0,0,37,0,5127,35,44,225749,0,1114,1785,16056,30
decode hex + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10416,4437,0,0,0,0,0,37,0,5206,35,44,0,0,0,5206,20828,25
get account and get storage capacity + add and remove key to/from account,0,37,0,163860,0,0,0,0,161403,0,952941,0,0,4422,0,0,0,7177,4422,0,60,0,2211,2211,37,0,7053,35,464,0,0,0,2271,16501,92
copy array from storage and save a duplicate + reference tx,0,37,0,3401,0,0,7204,0,180100,0,0,1585,0,0,0,0,0,140678,0,0,0,0,0,0,37,0,21612,35,44,1608,0,0,61430,223720,217
add and remove key to/from account + convert int to string and concatenate it,0,37,0,0,0,0,0,0,455447,0,2689009,0,0,12478,0,0,0,37139,12478,0,0,0,6239,6239,37,0,37135,35,44,0,0,0,15448,89722,288
create and destroy EVM bridged account + emit event,12162,37,0,49526,0,0,0,6081,364860,0,823365,0,0,14445,0,0,0,73744,6081,0,0,20526,0,0,37,0,47133,35,44,48648,0,6081,20526,141403,153
get signer address + copy array from storage,0,37,0,1827,0,0,0,0,9310,0,0,0,0,0,0,0,0,16015,0,0,0,0,0,0,37,0,931,35,44,0,0,0,6609,23555,12
call empty contract function + borrow array from storage,0,37,0,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,46724,0,0,0,0,0,0,37,0,4796,35,44,0,0,0,19076,70596,74
get account and get available balance,0,37,136,365840,136,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,0,0,0,0,0,37,0,1632,35,996,0,0,0,136,4082,17
decode hex + get account and get available balance,0,37,797,2176607,797,0,0,0,0,0,0,0,0,0,0,0,0,15663,1055,0,0,0,0,0,37,0,10619,35,5623,0,0,0,1852,28134,96
borrow array from storage,0,37,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,113702,0,0,0,0,0,0,37,0,7580,35,44,0,0,0,45480,166762,143
create new account + mint NFT,1026,73,0,2875,0,0,351,0,0,0,57475,51312,1045,1045,0,0,0,4488,0,0,0,342,0,0,73,0,2413,65,74,71595,0,342,1387,8288,380
mint NFT + convert int to string,2727,37,0,2981,0,0,933,0,0,0,0,132023,0,0,0,0,0,11767,0,0,0,909,0,0,37,0,6336,35,44,185759,0,909,3609,21712,21
get signer vault + transfer tokens,4884,37,0,1913,0,0,0,1628,0,0,302808,67,0,3256,0,0,0,38878,0,0,0,4884,0,0,37,0,18623,35,44,122,0,1628,2343,59844,145
borrow array from storage + reference tx,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,29096,0,0,0,0,0,0,37,0,1887,35,44,0,0,0,12109,43092,37
decode hex + get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26820,5438,0,0,0,0,0,37,0,13408,35,44,0,0,0,13408,53636,40
get signer vault + load and save long string on signers address,0,37,0,1416,0,0,0,0,0,0,0,1312,0,0,0,0,0,5876,0,0,0,0,0,0,37,0,3767,35,44,1327,0,0,2105,11748,7
get account and get storage capacity,0,37,0,297679,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,0,109,0,0,0,37,0,763,35,807,0,0,0,109,1855,20
borrow array from storage + get signer receiver,0,37,0,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,201081,0,0,0,0,0,0,37,0,47550,35,44,0,0,0,82813,331444,319
add and remove key to/from account,0,37,0,0,0,0,0,0,87965,0,519355,0,0,2410,0,0,0,3617,2410,0,0,0,1205,1205,37,0,3615,35,44,0,0,0,1205,8437,47
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17340,0,0,0,0,0,0,37,0,17338,35,44,0,0,0,8669,43347,14
get signer receiver + add and remove key to/from account,0,37,0,1954,0,0,0,0,266377,0,1572719,0,0,7298,0,0,0,29535,7298,0,0,0,3649,3649,37,0,38823,35,44,0,0,0,12941,81299,250
copy array from storage and save a duplicate + get public account,0,37,0,2793,0,0,6886,0,172145,0,0,1585,0,0,0,0,0,118950,0,0,0,0,0,0,37,0,21600,35,44,1608,0,0,42258,182808,205
convert int to string and concatenate it + get account and get storage capacity,0,37,0,4199090,0,0,0,0,0,0,0,0,0,0,0,0,0,27727,0,0,1561,0,0,0,37,0,24601,35,10971,0,0,0,8398,60726,199
add key to account + create and destroy EVM bridged account,18096,37,0,73041,0,0,0,9048,978106,0,1269906,0,0,5962,0,0,0,57168,15010,0,0,9048,5962,0,37,0,39068,35,44,72384,0,9048,15010,111246,289
convert int to string + get account and get balance,0,74,0,5480265,0,0,0,0,0,0,0,0,0,0,1995,0,0,15310,0,0,0,0,0,0,74,0,7653,69,18033,0,0,0,3663,26626,247
mint NFT + load and save long string on signers address,7308,37,0,4336,0,0,2499,0,0,0,0,350441,0,0,0,0,0,33778,0,0,0,2436,0,0,37,0,20892,35,44,494285,0,2436,8010,62680,65
get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22506,0,0,0,0,0,0,37,0,11252,35,44,0,0,0,11252,45010,17
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3898,0,0,0,0,0,0,37,0,1948,35,44,0,0,0,1948,7794,2
get public account + reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18200,0,0,0,0,0,0,37,0,6577,35,44,0,0,0,11619,36396,17
load and save empty string on signers address + get account and get balance,0,74,0,3995350,0,0,0,0,0,0,0,1271,0,0,1476,0,0,10144,0,0,0,0,0,0,74,0,5284,69,13362,1286,0,0,1904,17332,214
emit event + get account and get available balance,0,37,783,2138594,783,0,0,0,0,0,288534,0,0,5062,0,0,0,28501,0,0,0,5062,0,0,37,0,19520,35,5525,0,0,0,5845,53866,125
transfer tokens to EVM address + add and remove key to/from account,74,37,0,15857,0,3924,0,1,528995,0,3082513,0,0,14230,0,0,756000,21387,14195,0,0,37,7079,7079,37,0,21420,35,44,12752,0,1,7079,49886,322
get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,11696,0,0,0,0,0,0,37,0,5847,35,44,0,0,0,5847,23390,20
convert int to string and concatenate it + get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18658,0,0,0,0,0,0,37,0,11054,35,44,0,0,0,9327,39039,27
get signer receiver + transfer tokens,3669,37,0,1913,0,0,0,1223,0,0,227478,67,0,2446,0,0,0,44921,0,0,0,3669,0,0,37,0,38635,35,44,122,0,1223,9617,93173,127
transfer tokens + reference tx,10968,37,0,1954,0,0,0,3656,0,0,680016,67,0,7312,0,0,0,104361,0,0,0,10968,0,0,37,0,40216,35,44,122,0,3656,23925,168502,209
get account and get storage capacity,0,37,0,2232700,0,0,0,0,0,0,0,0,0,0,0,0,0,7472,0,0,830,0,0,0,37,0,5810,35,5854,0,0,0,830,14112,91
call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,13136,0,0,0,0,0,0,37,0,6567,35,44,0,0,0,6567,26270,10
create new account,0,73,0,0,0,0,0,0,0,0,64185,0,1167,1167,0,0,0,2336,0,0,0,0,0,0,73,0,1167,65,74,0,0,0,1167,4670,458
copy array from storage + create new account and deploy contract,0,718,0,1396772,0,0,1288,0,55168,0,144256,55384,644,1288,0,644,0,48946,1288,0,0,644,0,0,718,0,5066,69,78,106258,0,0,19448,73460,515
get account and get balance,0,74,0,4021608,0,0,0,0,0,0,0,0,0,0,1464,0,0,8786,0,0,0,0,0,0,74,0,4392,69,13254,0,0,0,1464,14642,204
get account and get storage capacity + get public account,0,37,0,1982706,0,0,0,0,0,0,0,0,0,0,0,0,0,7298,0,0,726,0,0,0,37,0,5462,35,5126,0,0,0,1106,13866,92
get account and get balance,0,74,0,4077942,0,0,0,0,0,0,0,0,0,0,1507,0,0,9044,0,0,0,0,0,0,74,0,4521,69,13641,0,0,0,1507,15072,205
load and save long string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1312,0,0,0,0,0,253985,0,0,0,0,0,0,37,0,169322,35,44,1327,0,0,84661,507968,330
transfer tokens to EVM address + get signer vault,4978,37,0,1049570,0,271170,0,1,840960,0,2174468,0,0,4976,0,0,52248000,40232,2489,0,0,2489,0,0,37,0,27580,35,44,878272,0,1,15137,82949,394
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26132,0,0,0,0,0,0,37,0,26130,35,44,0,0,0,13065,65327,24
emit event,0,37,0,221,0,0,0,0,0,0,26277,0,0,461,0,0,0,1385,0,0,0,461,0,0,37,0,922,35,44,0,0,0,461,2768,7
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706,0,0,0,0,0,0,37,0,2352,35,44,0,0,0,2352,9410,8
get public account + call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,0,0,0,0,0,0,37,0,882,35,44,0,0,0,882,3532,3
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,0,0,0,0,0,37,0,1754,35,44,0,0,0,1754,7018,2
get account and get balance + transfer tokens,4884,74,0,1506449,0,0,0,1628,0,0,302808,67,0,3256,556,0,0,40784,0,0,0,4884,0,0,74,0,19576,69,5082,122,0,1628,2184,62544,185
get account and get balance + get public account,0,74,0,7381968,0,0,0,0,0,0,0,0,0,0,2728,0,0,19770,0,0,0,0,0,0,74,0,9883,69,24630,0,0,0,4427,34080,480
get signer receiver + borrow array from storage,0,37,0,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,31650,0,0,0,0,0,0,37,0,13241,35,44,0,0,0,13435,58326,58
add key to account + transfer tokens to EVM address,634,37,0,133688,0,34437,0,1,139631,0,371797,0,0,1081,0,0,6636000,2168,766,0,0,317,449,0,37,0,2481,35,44,111545,0,1,449,5098,64
convert int to string and concatenate it + get account and get balance,0,74,0,6197232,0,0,0,0,0,0,0,0,0,0,2256,0,0,20480,0,0,0,0,0,0,74,0,13708,69,20382,0,0,0,5726,39914,444
call empty contract function + get signer receiver,0,37,0,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,21734,0,0,0,0,0,0,37,0,29487,35,44,0,0,0,10865,62086,75
copy array from storage and save a duplicate + get public account,0,37,0,3401,0,0,3505,0,87625,0,0,1585,0,0,0,0,0,66181,0,0,0,0,0,0,37,0,13811,35,44,1608,0,0,24326,104318,90
get signer address,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7206,0,0,0,0,0,0,37,0,0,35,44,0,0,0,3602,10808,7
get public account + load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,13987,0,0,0,0,0,0,37,0,7056,35,44,1327,0,0,6927,27970,12
emit event,0,37,0,221,0,0,0,0,0,0,453606,0,0,7958,0,0,0,23876,0,0,0,7958,0,0,37,0,15916,35,44,0,0,0,7958,47750,27
get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,37,0,1349,35,44,0,0,0,1349,5398,9
create new account + get account and get balance,0,73,0,694991,0,0,0,0,0,0,7205,0,131,131,253,0,0,1784,0,0,0,0,0,0,73,0,890,65,2351,0,0,0,384,3058,86
create new account + create and destroy EVM bridged account,1652,73,0,7265,0,0,0,826,49560,0,23320,0,424,424,0,0,0,4982,826,0,0,826,0,0,73,0,2902,65,74,6608,0,826,1250,9134,534
load and save empty string on signers address + add and remove key to/from account,0,37,0,1335,0,0,0,0,73000,0,431000,1271,0,2000,0,0,0,13831,2000,0,0,0,1000,1000,37,0,10218,35,44,1286,0,0,4609,28658,48
add key to account + get signer address,0,37,0,0,0,0,0,0,196954,0,574674,0,0,2698,0,0,0,19756,2698,0,0,0,2698,0,37,0,5396,35,44,0,0,0,9876,35028,75
get account and get available balance,0,37,1782,4793580,1782,0,0,0,0,0,0,0,0,0,0,0,0,30296,0,0,0,0,0,0,37,0,21384,35,12518,0,0,0,1782,53462,328
get signer address + get signer receiver,0,37,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,15434,0,0,0,0,0,0,37,0,20151,35,44,0,0,0,7715,43300,52
reference tx + copy array from storage,0,37,0,1868,0,0,0,0,91570,0,0,0,0,0,0,0,0,398987,0,0,0,0,0,0,37,0,9157,35,44,0,0,0,316570,724714,221
create and destroy EVM bridged account + convert int to string,6974,37,0,28553,0,0,0,3487,209220,0,0,0,0,0,0,0,0,19171,3487,0,0,3487,0,0,37,0,11327,35,44,27896,0,3487,4353,34851,62
get signer receiver,0,37,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,9210,0,0,0,0,0,0,37,0,13812,35,44,0,0,0,4604,27626,35
decode hex + emit event,0,37,0,221,0,0,0,0,0,0,185079,0,0,3247,0,0,0,17777,4016,0,0,3247,0,0,37,0,10510,35,44,0,0,0,7263,35550,31
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13514,0,0,0,0,0,0,37,0,6756,35,44,0,0,0,6756,27026,9
get account and get available balance + copy array from storage and save a duplicate,0,37,1995,5451746,1995,0,6733,0,168325,0,0,1585,0,0,0,0,0,148380,0,0,0,0,0,0,37,0,44139,35,14009,1608,0,0,42393,234912,429
get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,36312,0,0,0,0,0,0,37,0,18155,35,44,0,0,0,18155,72622,133
add and remove key to/from account + convert int to string and concatenate it,0,37,0,0,0,0,0,0,123954,0,731838,0,0,3396,0,0,0,5238,3396,0,0,0,1698,1698,37,0,5234,35,44,0,0,0,1768,12240,73
get account and get storage used + add and remove key to/from account,0,37,0,0,2003,0,0,0,363175,0,2144225,0,0,9950,0,0,0,18935,9950,0,0,0,4975,4975,37,0,16928,35,44,0,0,0,6978,42841,197
copy array from storage and save a duplicate + get signer address,0,37,0,3401,0,0,2327,0,58175,0,0,1585,0,0,0,0,0,64687,0,0,0,0,0,0,37,0,6981,35,44,1608,0,0,26524,98192,63
mint NFT + copy array from storage and save a duplicate,8748,37,0,6939,0,0,5961,0,74250,0,0,425262,0,0,0,0,0,70906,0,0,0,2916,0,0,37,0,20574,35,44,597434,0,2916,20736,112216,127
load and save long string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1312,0,0,0,0,0,18731,0,0,0,0,0,0,37,0,12486,35,44,1327,0,0,6243,37460,20
add and remove key to/from account + get public account,0,37,0,0,0,0,0,0,283605,0,1674435,0,0,7770,0,0,0,58145,7770,0,0,0,3885,3885,37,0,34898,35,44,0,0,0,27128,120171,182
copy array from storage + reference tx,0,37,0,1868,0,0,0,0,36670,0,0,0,0,0,0,0,0,59704,0,0,0,0,0,0,37,0,3667,35,44,0,0,0,26697,90068,49
create new account + create new account and deploy contract,0,884,0,1756626,0,0,1622,0,30007,0,197284,69746,1095,1906,0,811,0,3005,1622,0,0,811,0,0,884,0,2717,65,74,133810,0,0,1095,6817,544
get account and get storage used,0,37,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,3166,0,0,0,0,0,0,37,0,1582,35,44,0,0,0,1582,6330,35
transfer tokens to EVM address,2198,37,0,464021,0,119669,0,1,371158,0,959626,0,0,2196,0,0,23058000,4396,1099,0,0,1099,0,0,37,0,5493,35,44,388700,0,1,0,9889,152
convert int to string and concatenate it + transfer tokens to EVM address,5136,37,0,1083939,0,279776,0,1,867652,0,2243504,0,0,5134,0,0,53907000,28672,2568,0,0,2568,0,0,37,0,31236,35,44,908726,0,1,9199,69107,396
reference tx + transfer tokens to EVM address,1834,37,0,387217,0,99841,0,1,309662,0,800578,0,0,1832,0,0,19236000,4651,917,0,0,917,0,0,37,0,4583,35,44,324272,0,1,981,10215,146
copy array from storage and save a duplicate + create new account,0,73,0,3401,0,0,7210,0,180250,0,23210,1585,422,422,0,0,0,123418,0,0,0,0,0,0,73,0,22052,65,74,1608,0,0,43682,189152,779
get public account + add and remove key to/from account,0,37,0,0,0,0,0,0,135342,0,799074,0,0,3708,0,0,0,182120,3708,0,0,0,1854,1854,37,0,93839,35,44,0,0,0,90131,366090,215
emit event + get account and get balance,0,74,0,2208317,0,0,0,0,0,0,28044,0,0,492,816,0,0,6376,0,0,0,492,0,0,74,0,3432,69,7422,0,0,0,1308,11116,121
get signer vault + mint NFT,4290,37,0,3883,0,0,1467,0,0,0,0,205555,0,0,0,0,0,29600,0,0,0,1430,0,0,37,0,15513,35,44,290030,0,1430,11223,56336,67
mint NFT + add and remove key to/from account,13653,37,0,2757,0,0,4669,0,413910,0,2443770,649500,0,11340,0,0,0,48871,11340,0,0,4551,5670,5670,37,0,35214,35,44,918114,0,4551,10221,94306,334
convert int to string + copy array from storage,0,37,0,1868,0,0,0,0,91800,0,0,0,0,0,0,0,0,144890,0,0,0,0,0,0,37,0,12773,35,44,0,0,0,58673,216336,165
get signer receiver + convert int to string,0,37,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,11366,0,0,0,0,0,0,37,0,16645,35,44,0,0,0,5681,33692,48
get account and get available balance + call empty contract function,0,37,1021,2788572,1021,0,0,0,0,0,0,0,0,0,0,0,0,18167,0,0,0,0,0,0,37,0,12655,35,7191,0,0,0,1424,32246,243
reference tx + load and save empty string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1271,0,0,0,0,0,34318,0,0,0,0,0,0,37,0,17394,35,44,1286,0,0,16920,68632,30
