tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,23920,0,44,0,35882,0,0,0,0,37,35,0,0,0,0,0,11960,0,37,0,0,1335,1271,0,71762,41
get account and get storage capacity + create new account and deploy contract,0,0,0,0,624,624,102958,0,0,20625,23088,18827,624,25987,0,0,2679,0,697,65,0,0,0,0,1248,3303,1248,697,139776,0,8558094,53664,1248,49915,914
convert int to string and concatenate it + emit event,0,0,0,0,18261,0,0,0,0,70114,0,44,0,88379,0,0,0,0,37,35,0,0,0,0,0,35057,0,37,1040877,0,223,0,18261,193550,93
convert int to string and concatenate it + call empty contract function,0,0,0,0,0,0,0,0,0,36153,0,44,0,65028,0,0,0,0,37,35,0,0,0,0,0,32512,0,37,0,0,223,0,0,133693,311
load and save long string on signers address,0,0,0,0,0,0,1327,0,0,31824,0,44,0,47738,0,0,0,0,37,35,0,0,0,0,0,15912,0,37,0,0,1294,1312,0,95474,48
get account and get balance + create new account,0,0,0,0,0,30,0,0,0,6072,0,18204,0,12148,0,0,0,2014,74,69,0,0,0,0,0,2044,0,74,1650,0,5532458,0,30,20264,258
add key to account + get public account,0,0,0,1713,0,0,0,0,0,43978,125049,44,0,84534,0,0,0,0,37,35,0,0,0,0,0,42265,1713,37,364869,0,0,0,1713,170777,106
create and destroy EVM bridged account + get signer receiver,0,0,0,0,11888,0,95104,0,11888,62292,713280,44,0,77196,0,11888,0,0,37,35,0,0,23776,0,0,20764,11888,37,0,0,97715,0,0,160252,260
get account and get storage used + mint NFT,0,0,0,0,2732,0,552532,1210,2732,12138,0,44,0,21548,0,0,0,0,37,35,0,0,8196,0,2803,3942,0,37,0,0,3056,391239,0,37628,65
transfer tokens to EVM address + get account and get balance,0,0,0,0,167,0,58772,0,1,3773,56162,8898,0,6550,18091,1,0,980,74,69,0,0,334,0,0,980,167,74,145078,3486000,2762777,0,332,11303,498
mint NFT + add and remove key to/from account,0,0,4409,4409,1857,0,376687,0,1857,20655,321857,44,0,26230,0,0,0,0,37,35,0,0,5571,0,1905,6266,8818,37,1900279,0,3229,267019,8818,53151,220
transfer tokens to EVM address,0,0,0,0,1014,0,358610,0,1,5068,342430,44,0,4056,110405,1,0,0,37,35,0,0,2028,0,0,0,1014,37,885338,21273000,428151,0,2026,9124,207
get signer vault,0,0,0,0,0,0,0,0,0,12522,0,44,0,25046,0,0,0,0,37,35,0,0,0,0,0,12522,0,37,0,0,1457,0,0,50090,39
reference tx + transfer tokens,0,0,0,0,4836,0,122,0,1612,17732,0,44,0,58573,0,1612,0,0,37,35,0,0,4836,0,0,23105,0,37,299832,0,1913,67,3224,99410,449
get public account + create new account,0,0,0,0,0,251,0,0,0,38524,0,74,0,77052,0,0,0,0,73,65,0,0,0,0,0,38524,0,73,13805,0,0,0,251,154100,154
load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,37490,0,44,0,56237,0,0,0,0,37,35,0,0,0,0,0,18745,0,37,0,0,1294,1271,0,112472,56
transfer tokens to EVM address + decode hex,0,0,0,0,2621,0,927488,0,1,42582,885550,44,0,69444,285545,1,0,0,37,35,0,0,5242,0,0,29479,32100,37,2289810,55020000,1106305,0,5240,141505,491
add key to account + get signer vault,0,0,0,3622,0,0,0,0,0,12574,264406,44,0,17908,0,0,0,0,37,35,0,0,0,0,0,8952,3622,37,771486,0,1416,0,3622,39434,107
load and save long string on signers address + copy array from storage,0,0,0,0,0,0,1327,0,0,13136,20240,44,0,47032,0,0,0,0,37,35,0,0,0,0,0,17700,0,37,0,0,1868,1312,0,77868,39
convert int to string + get account and get storage capacity,0,0,0,0,0,0,0,0,0,12847,0,9249,0,19123,0,0,1315,0,37,35,0,0,0,0,0,4957,0,37,0,0,3591265,0,0,36927,155
convert int to string + create new account,0,0,0,0,0,178,0,0,0,38010,0,74,0,76024,0,0,0,0,73,65,0,0,0,0,0,38010,0,73,9790,0,0,0,178,152044,107
convert int to string and concatenate it + create new account and deploy contract,0,0,0,0,667,667,110053,0,0,22293,24679,74,667,22297,0,0,0,0,740,65,0,0,0,0,1334,10813,1334,740,149408,0,1444722,57362,1334,55403,351
decode hex + transfer tokens,0,0,0,0,4401,0,122,0,1467,19132,0,44,0,39735,0,1467,0,0,37,35,0,0,4401,0,0,4462,2995,37,272862,0,1954,67,2934,63329,114
get public account + emit event,0,0,0,0,2526,0,0,0,0,6350,0,44,0,10178,0,0,0,0,37,35,0,0,0,0,0,3824,0,37,143982,0,221,0,2526,20352,11
transfer tokens,0,0,0,0,15597,0,122,0,5199,57189,0,44,0,119579,0,5199,0,0,37,35,0,0,15597,0,0,5199,0,37,967014,0,1913,67,10398,181967,319
convert int to string and concatenate it + load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,31924,0,44,0,45212,0,0,0,0,37,35,0,0,0,0,0,15962,0,37,0,0,1335,1271,0,93098,68
call empty contract function,0,0,0,0,0,0,0,0,0,21486,0,44,0,42974,0,0,0,0,37,35,0,0,0,0,0,21486,0,37,0,0,223,0,0,85946,65
transfer tokens to EVM address + convert int to string and concatenate it,0,0,0,0,1994,0,705530,0,1,72628,673652,44,0,70638,217216,1,0,0,37,35,0,0,3988,0,0,31330,1994,37,1741840,41853000,841711,0,3986,174596,318
get account and get available balance,3059,0,0,0,0,0,0,3059,0,36708,0,21457,0,52005,0,0,0,0,37,35,0,0,0,0,0,3059,0,37,0,0,8228710,0,0,91772,394
copy array from storage and save a duplicate + create new account,0,0,0,0,0,845,1608,0,0,1412,4725,74,0,4907,0,0,0,0,73,65,0,0,0,0,189,1979,0,73,46475,0,3360,1585,845,8298,403
create and destroy EVM bridged account + transfer tokens to EVM address,0,0,0,0,1949,0,178212,0,1479,6787,247584,44,0,9276,51222,1479,0,0,37,35,0,0,3898,0,0,1478,1949,37,410764,9870000,210829,0,940,17541,89
get account and get storage used,0,0,0,0,0,0,0,23112,0,23112,0,44,0,46226,0,0,0,0,37,35,0,0,0,0,0,23112,0,37,0,0,0,0,0,92450,53
convert int to string and concatenate it + get signer address,0,0,0,0,0,0,0,0,0,43238,0,44,0,64676,0,0,0,0,37,35,0,0,0,0,0,32336,0,37,0,0,0,0,0,140250,41
transfer tokens to EVM address + create new account,0,0,0,0,1593,871,563576,0,1,8834,538110,74,0,8116,173505,1,0,0,73,65,0,0,3186,0,0,871,1593,73,1439267,33432000,672489,0,4055,17821,1011
load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,42686,0,44,0,64031,0,0,0,0,37,35,0,0,0,0,0,21343,0,37,0,0,1294,1271,0,128060,68
decode hex,0,0,0,0,0,0,0,0,0,16139,0,44,0,32280,0,0,0,0,37,35,0,0,0,0,0,16139,16139,37,0,0,0,0,0,64558,70
