tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
convert int to string + create and destroy EVM bridged account,0,0,0,0,2440,0,19520,0,2440,16148,146400,44,0,29860,0,2440,0,0,37,35,0,0,4880,0,0,11268,2440,37,0,0,20177,0,0,57276,66
create new account and deploy contract,0,0,0,0,478,478,78868,0,0,1434,17686,74,478,1436,0,0,0,0,551,65,0,0,0,0,956,478,956,551,107072,0,1035348,41108,956,3348,243
add and remove key to/from account + create and destroy EVM bridged account,0,0,5527,5527,7581,0,60648,0,7581,39324,858331,44,0,54490,0,7581,0,0,37,35,0,0,15162,0,0,13108,18635,37,2382137,0,61305,0,11054,106922,350
convert int to string and concatenate it + get public account,0,0,0,0,0,0,0,0,0,20783,0,44,0,22818,0,0,0,0,37,35,0,0,0,0,0,11407,0,37,0,0,0,0,0,55008,17
get signer address,0,0,0,0,0,0,0,0,0,0,0,44,0,80216,0,0,0,0,37,35,0,0,0,0,0,40107,0,37,0,0,0,0,0,120323,40
emit event,0,0,0,0,1282,0,0,0,0,2564,0,44,0,3848,0,0,0,0,37,35,0,0,0,0,0,1282,0,37,73074,0,221,0,1282,7694,5
get account and get storage capacity + get signer vault,0,0,0,0,0,0,0,0,0,11715,0,7366,0,18204,0,0,1046,0,37,35,0,0,0,0,0,5439,0,37,0,0,2858083,0,0,35358,159
emit event,0,0,0,0,5352,0,0,0,0,10704,0,44,0,16058,0,0,0,0,37,35,0,0,0,0,0,5352,0,37,305064,0,221,0,5352,32114,23
get signer vault + get account and get storage capacity,0,0,0,0,0,0,0,0,0,22028,0,8087,0,38315,0,0,1149,0,37,35,0,0,0,0,0,15134,0,37,0,0,3092226,0,0,75477,248
transfer tokens + get signer receiver,0,0,0,0,14547,0,122,0,4849,56477,0,44,0,113623,0,4849,0,0,37,35,0,0,14547,0,0,5895,0,37,901914,0,1913,67,9698,175995,300
get account and get available balance + add key to account,2406,0,0,6863,0,0,0,2406,0,42598,500999,16886,0,54632,0,0,0,0,37,35,0,0,0,0,0,9269,6863,37,1461819,0,6570786,0,6863,106499,529
get account and get storage capacity + load and save long string on signers address,0,0,0,0,0,0,1327,0,0,41657,0,16739,0,58912,0,0,2385,0,37,35,0,0,0,0,0,14866,0,37,0,0,6514770,1312,0,115435,362
load and save long string on signers address + add and remove key to/from account,0,0,2038,2038,0,0,1327,0,0,26666,148774,44,0,36946,0,0,0,0,37,35,0,0,0,0,0,12314,4076,37,878378,0,1294,1312,4076,75926,138
call empty contract function,0,0,0,0,0,0,0,0,0,10688,0,44,0,21378,0,0,0,0,37,35,0,0,0,0,0,10688,0,37,0,0,223,0,0,42754,21
transfer tokens,0,0,0,0,12027,0,122,0,4009,44099,0,44,0,92209,0,4009,0,0,37,35,0,0,12027,0,0,4009,0,37,745674,0,1954,67,8018,140317,215
borrow array from storage,0,0,0,0,0,0,0,0,0,11011,0,44,0,165167,0,0,0,0,37,35,0,0,0,0,0,66066,0,37,0,0,1868,0,0,242244,170
emit event + mint NFT,0,0,0,0,38530,0,2467565,0,12128,101316,0,44,0,164106,0,0,0,0,37,35,0,0,36384,0,12441,38530,0,37,1504914,0,3862,1751908,26402,303952,390
convert int to string + get signer address,0,0,0,0,0,0,0,0,0,5753,0,44,0,47654,0,0,0,0,37,35,0,0,0,0,0,23825,0,37,0,0,0,0,0,77232,23
create new account + add key to account,0,0,0,5368,0,894,0,0,0,11630,391864,74,0,12528,0,0,0,0,73,65,0,0,0,0,0,6262,5368,73,1192554,0,0,0,6262,30420,512
load and save long string on signers address,0,0,0,0,0,0,1327,0,0,4624,0,44,0,6938,0,0,0,0,37,35,0,0,0,0,0,2312,0,37,0,0,1273,1312,0,13874,16
copy array from storage and save a duplicate + call empty contract function,0,0,0,0,0,0,1608,0,0,23389,176025,44,0,124233,0,0,0,0,37,35,0,0,0,0,7041,44512,0,37,0,0,3624,1585,0,192134,164
get account and get balance + get account and get storage capacity,0,0,0,0,0,0,0,0,0,8584,0,17374,0,14152,0,0,604,1452,74,69,0,0,0,0,0,2056,0,74,0,0,5553872,0,0,24792,292
borrow array from storage + get account and get storage used,0,0,0,0,0,0,0,888,0,2476,0,44,0,25600,0,0,0,0,37,35,0,0,0,0,0,10416,0,37,0,0,1827,0,0,38492,28
convert int to string + create new account and deploy contract,0,0,0,0,592,592,97678,0,0,37999,21904,74,592,74226,0,0,0,0,665,65,0,0,0,0,1184,36815,1184,665,132608,0,1282272,50912,1184,149040,360
add key to account + create new account and deploy contract,0,0,0,9175,115,115,18975,0,0,18695,674030,74,115,18699,0,0,0,0,188,65,0,0,0,0,230,9290,9405,188,1980035,0,249090,9890,9405,46684,375
create new account and deploy contract + emit event,0,0,0,0,3671,593,97841,0,0,7935,21941,74,593,11017,0,0,0,0,666,65,0,0,0,0,1186,3671,1186,666,308278,0,1284657,50998,4264,22623,313
add and remove key to/from account + get signer receiver,0,0,2253,2253,0,0,0,0,0,8205,164469,44,0,7727,0,0,0,0,37,35,0,0,0,0,0,2735,4506,37,971043,0,1913,0,4506,18667,96
emit event + mint NFT,0,0,0,0,20303,0,755422,0,3740,48086,0,44,0,75873,0,0,0,0,37,35,0,0,11220,0,3836,20303,0,37,944091,0,3238,534657,16563,144262,153
mint NFT,0,0,0,0,2938,0,594434,0,2938,11752,0,44,0,20568,0,0,0,0,37,35,0,0,8814,0,3013,2938,0,37,0,0,3578,420987,0,35258,71
get account and get available balance + create new account,1102,0,0,0,0,387,0,1102,0,13611,0,7788,0,19512,0,0,0,0,73,65,0,0,0,0,0,1489,0,73,21285,0,2964380,0,387,34612,289
copy array from storage and save a duplicate + transfer tokens,0,0,0,0,4983,0,1730,0,1661,38068,164975,44,0,150390,0,1661,0,0,37,35,0,0,4983,0,6599,41255,0,37,308946,0,4020,1652,3322,229713,245
call empty contract function,0,0,0,0,0,0,0,0,0,9482,0,44,0,18966,0,0,0,0,37,35,0,0,0,0,0,9482,0,37,0,0,221,0,0,37930,23
get account and get available balance + add and remove key to/from account,642,0,1439,1439,0,0,0,642,0,12021,105047,4538,0,15235,0,0,0,0,37,35,0,0,0,0,0,2081,2878,37,620209,0,1753302,0,2878,29337,152
call empty contract function + convert int to string,0,0,0,0,0,0,0,0,0,26314,0,44,0,52632,0,0,0,0,37,35,0,0,0,0,0,26314,0,37,0,0,221,0,0,105260,39
decode hex + mint NFT,0,0,0,0,148,0,33469,0,148,26030,0,44,0,51916,0,0,0,0,37,35,0,0,444,0,152,25586,25438,37,0,0,3478,24632,0,103532,166
get account and get storage used + get signer address,0,0,0,0,0,0,0,28664,0,28664,0,44,0,82814,0,0,0,0,37,35,0,0,0,0,0,41405,0,37,0,0,0,0,0,152883,83
mint NFT,0,0,0,0,8101,0,1631919,0,8101,32404,0,44,0,56709,0,0,0,0,37,35,0,0,24303,0,8310,8101,0,37,0,0,2501,1153855,0,97214,163
copy array from storage + get signer receiver,0,0,0,0,0,0,0,0,0,8331,26430,44,0,43441,0,0,0,0,37,35,0,0,0,0,0,17754,0,37,0,0,2446,0,0,69526,44
reference tx + load and save long string on signers address,0,0,0,0,0,0,1327,0,0,37344,0,44,0,71141,0,0,0,0,37,35,0,0,0,0,0,33793,0,37,0,0,1335,1312,0,142278,67
mint NFT + create new account and deploy contract,0,0,0,0,4200,299,845545,0,3901,16501,11063,74,299,28208,0,0,0,0,372,65,0,0,11703,0,4600,4200,598,372,66976,0,651435,591662,598,48909,307
add key to account,0,0,0,8229,0,0,0,0,0,16458,600717,44,0,16460,0,0,0,0,37,35,0,0,0,0,0,8229,8229,37,1752777,0,0,0,8229,41147,236
copy array from storage and save a duplicate + call empty contract function,0,0,0,0,0,0,1608,0,0,29153,207025,44,0,149401,0,0,0,0,37,35,0,0,0,0,8281,53996,0,37,0,0,3581,1585,0,232550,197
call empty contract function,0,0,0,0,0,0,0,0,0,3063,0,44,0,6128,0,0,0,0,37,35,0,0,0,0,0,3063,0,37,0,0,221,0,0,12254,6
load and save empty string on signers address + load and save long string on signers address,0,0,0,0,0,0,1327,0,0,27356,0,44,0,41038,0,0,0,0,37,35,0,0,0,0,0,13678,0,37,0,0,1294,1312,0,82072,42
decode hex + emit event,0,0,0,0,14127,0,0,0,0,37211,0,44,0,60299,0,0,0,0,37,35,0,0,0,0,0,23084,8957,37,805239,0,223,0,14127,120594,95
load and save long string on signers address + get account and get balance,0,0,0,0,0,0,1327,0,0,36365,0,2445,0,54946,0,0,0,263,74,69,0,0,0,0,0,18051,0,74,0,0,707428,1312,0,109362,87
load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,2638,0,44,0,3959,0,0,0,0,37,35,0,0,0,0,0,1319,0,37,0,0,1294,1271,0,7916,14
get signer address + convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,70058,0,44,0,103782,0,0,0,0,37,35,0,0,0,0,0,51889,0,37,0,0,0,0,0,225729,65
add key to account,0,0,0,3446,0,0,0,0,0,6892,251558,44,0,6894,0,0,0,0,37,35,0,0,0,0,0,3446,3446,37,733998,0,0,0,3446,17232,192
get public account + call empty contract function,0,0,0,0,0,0,0,0,0,5458,0,44,0,10920,0,0,0,0,37,35,0,0,0,0,0,5458,0,37,0,0,221,0,0,21836,13
transfer tokens to EVM address,0,0,0,0,2475,0,875804,0,1,12373,836226,44,0,9900,269643,1,0,0,37,35,0,0,4950,0,0,0,2475,37,2162230,51954000,1044693,0,4948,22273,327
create and destroy EVM bridged account,0,0,0,0,5510,0,44080,0,5510,16530,330600,44,0,27552,0,5510,0,0,37,35,0,0,11020,0,0,5510,5510,37,0,0,44737,0,0,49592,142
add key to account + get account and get balance,0,0,0,5969,0,0,0,0,0,14695,435737,8349,0,17456,0,0,0,919,74,69,0,0,0,0,0,6888,5969,74,1271397,0,2524493,0,5969,39039,255
emit event + borrow array from storage,0,0,0,0,4559,0,0,0,0,23114,0,44,0,223621,0,0,0,0,37,35,0,0,0,0,0,88535,0,37,259863,0,2091,0,4559,335270,269
get signer vault + transfer tokens to EVM address,0,0,0,0,1347,0,476492,0,1,27311,454982,44,0,46546,146701,1,0,0,37,35,0,0,2694,0,0,20578,1347,37,1176378,28266000,570134,0,2692,94435,246
emit event + get signer vault,0,0,0,0,39378,0,0,0,0,104191,0,44,0,169008,0,0,0,0,37,35,0,0,0,0,0,64813,0,37,2244546,0,1680,0,39378,338012,585
get signer address + get signer receiver,0,0,0,0,0,0,0,0,0,9603,0,44,0,70646,0,0,0,0,37,35,0,0,0,0,0,35321,0,37,0,0,1913,0,0,115570,42
get public account + reference tx,0,0,0,0,0,0,0,0,0,20606,0,44,0,70599,0,0,0,0,37,35,0,0,0,0,0,49989,0,37,0,0,0,0,0,141194,46
get account and get available balance + get account and get storage capacity,1850,0,0,0,0,0,0,1850,0,26218,0,17012,0,36620,0,0,574,0,37,35,0,0,0,0,0,2424,0,37,0,0,6520560,0,0,65262,328
copy array from storage and save a duplicate + get account and get balance,0,0,0,0,0,0,1608,0,0,38046,256875,21741,0,189121,0,0,0,2407,74,69,0,0,0,0,10275,64057,0,74,0,0,6615430,1585,0,291224,554
create new account and deploy contract + get account and get storage used,0,0,0,0,494,494,81508,1535,0,3017,18278,74,494,4556,0,0,0,0,567,65,0,0,0,0,988,2029,988,567,110656,0,1070004,42484,988,9602,317
mint NFT + get account and get storage used,0,0,0,0,2694,0,544838,3781,2694,14557,0,44,0,26424,0,0,0,0,37,35,0,0,8082,0,2764,6475,0,37,0,0,3007,385787,0,47456,606
add key to account + borrow array from storage,0,0,0,1965,0,0,0,0,0,7975,143445,44,0,64609,0,0,0,0,37,35,0,0,0,0,0,26235,1965,37,418545,0,1868,0,1965,98819,114
reference tx + call empty contract function,0,0,0,0,0,0,0,0,0,19610,0,44,0,50098,0,0,0,0,37,35,0,0,0,0,0,30484,0,37,0,0,223,0,0,100192,41
convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,46584,0,44,0,46586,0,0,0,0,37,35,0,0,0,0,0,23292,0,37,0,0,0,0,0,116462,34
get account and get storage used + emit event,0,0,0,0,22892,0,0,10207,0,55991,0,44,0,89094,0,0,0,0,37,35,0,0,0,0,0,33099,0,37,1304844,0,223,0,22892,178184,100
create new account and deploy contract,0,0,0,0,66,66,10889,0,0,198,2442,74,66,200,0,0,0,0,139,65,0,0,0,0,132,66,132,139,14784,0,142956,5676,132,464,31
get signer receiver,0,0,0,0,0,0,0,0,0,6444,0,44,0,4298,0,0,0,0,37,35,0,0,0,0,0,2148,0,37,0,0,1913,0,0,12890,18
emit event + load and save long string on signers address,0,0,0,0,2609,0,1327,0,0,6732,0,44,0,10102,0,0,0,0,37,35,0,0,0,0,0,3366,0,37,148713,0,1556,1312,2609,20200,12
create new account and deploy contract + create new account,0,0,0,0,241,767,39763,0,0,1249,8917,74,241,1779,0,0,0,0,314,65,0,0,0,0,482,767,482,314,82914,0,522006,20726,1008,3795,369
create and destroy EVM bridged account,0,0,0,0,1913,0,15304,0,1913,5739,114780,44,0,9567,0,1913,0,0,37,35,0,0,3826,0,0,1913,1913,37,0,0,15961,0,0,17219,646
create and destroy EVM bridged account,0,0,0,0,4472,0,35776,0,4472,13416,268320,44,0,22362,0,4472,0,0,37,35,0,0,8944,0,0,4472,4472,37,0,0,36433,0,0,40250,80
convert int to string,0,0,0,0,0,0,0,0,0,40014,0,44,0,80030,0,0,0,0,37,35,0,0,0,0,0,40014,0,37,0,0,0,0,0,160058,43
decode hex,0,0,0,0,0,0,0,0,0,209,0,44,0,420,0,0,0,0,37,35,0,0,0,0,0,209,209,37,0,0,0,0,0,838,1
copy array from storage,0,0,0,0,0,0,0,0,0,4086,40860,44,0,61292,0,0,0,0,37,35,0,0,0,0,0,24516,0,37,0,0,1827,0,0,89894,45
create and destroy EVM bridged account,0,0,0,0,514,0,4112,0,514,1542,30840,44,0,2572,0,514,0,0,37,35,0,0,1028,0,0,514,514,37,0,0,4769,0,0,4628,10
copy array from storage + get signer address,0,0,0,0,0,0,0,0,0,15011,150110,44,0,250823,0,0,0,0,37,35,0,0,0,0,0,102893,0,37,0,0,1827,0,0,368727,205
decode hex,0,0,0,0,0,0,0,0,0,11890,0,44,0,23782,0,0,0,0,37,35,0,0,0,0,0,11890,11890,37,0,0,0,0,0,47562,55
copy array from storage + reference tx,0,0,0,0,0,0,0,0,0,10004,100040,44,0,184136,0,0,0,0,37,35,0,0,0,0,0,94096,0,37,0,0,1827,0,0,288236,119
create new account + load and save long string on signers address,0,0,0,0,0,1205,1327,0,0,40043,0,74,0,60671,0,0,0,0,73,65,0,0,0,0,0,20624,0,73,66275,0,1335,1312,1205,121338,493
call empty contract function,0,0,0,0,0,0,0,0,0,659,0,44,0,1320,0,0,0,0,37,35,0,0,0,0,0,659,0,37,0,0,223,0,0,2638,1
get account and get storage used + load and save empty string on signers address,0,0,0,0,0,0,1286,14449,0,43625,0,44,0,72666,0,0,0,0,37,35,0,0,0,0,0,29037,0,37,0,0,1335,1271,0,145328,85
convert int to string + add key to account,0,0,0,713,0,0,0,0,0,2593,52049,44,0,3764,0,0,0,0,37,35,0,0,0,0,0,1880,713,37,151869,0,0,0,713,8237,24
copy array from storage and save a duplicate,0,0,0,0,0,0,1608,0,0,7272,60600,44,0,41210,0,0,0,0,37,35,0,0,0,0,2424,14544,0,37,0,0,3401,1585,0,63026,59
copy array from storage,0,0,0,0,0,0,0,0,0,7511,75110,44,0,112667,0,0,0,0,37,35,0,0,0,0,0,45066,0,37,0,0,1827,0,0,165244,82
mint NFT + create new account,0,0,0,0,2959,356,595051,0,2959,12192,0,74,0,21429,0,0,0,0,73,65,0,0,8877,0,3034,3315,0,73,19580,0,274,420365,356,36936,259
get account and get storage capacity,0,0,0,0,0,0,0,0,0,13125,0,13169,0,16877,0,0,1875,0,37,35,0,0,0,0,0,1875,0,37,0,0,5120625,0,0,31877,226
get account and get available balance + convert int to string,2633,0,0,0,0,0,0,2633,0,67909,0,18475,0,117391,0,0,0,0,37,35,0,0,0,0,0,38946,0,37,0,0,7082770,0,0,224246,384
convert int to string and concatenate it + get account and get storage used,0,0,0,0,0,0,0,6434,0,29424,0,44,0,35862,0,0,0,0,37,35,0,0,0,0,0,17929,0,37,0,0,0,0,0,83215,36
add key to account,0,0,0,9257,0,0,0,0,0,18514,675761,44,0,18516,0,0,0,0,37,35,0,0,0,0,0,9257,9257,37,1971741,0,0,0,9257,46287,248
copy array from storage and save a duplicate + create and destroy EVM bridged account,0,0,0,0,720,0,7368,0,720,13143,134725,44,0,65841,0,720,0,0,37,35,0,0,1440,0,3661,22686,720,37,0,0,9777,1585,0,101670,118
mint NFT + convert int to string and concatenate it,0,0,0,0,7705,0,1568783,0,7705,50646,0,44,0,73765,0,0,0,0,37,35,0,0,23115,0,7904,17618,0,37,0,0,3605,1114083,0,142029,209
mint NFT + get public account,0,0,0,0,7051,0,1424012,0,7051,44687,0,44,0,82327,0,0,0,0,37,35,0,0,21153,0,7233,23534,0,37,0,0,3890,1007898,0,150548,170
load and save empty string on signers address + convert int to string and concatenate it,0,0,0,0,0,0,1286,0,0,31362,0,44,0,35386,0,0,0,0,37,35,0,0,0,0,0,15681,0,37,0,0,1294,1271,0,82429,68
get public account + borrow array from storage,0,0,0,0,0,0,0,0,0,13944,0,44,0,34977,0,0,0,0,37,35,0,0,0,0,0,16669,0,37,0,0,1868,0,0,65590,27
emit event + decode hex,0,0,0,0,41627,0,0,0,0,84213,0,44,0,126803,0,0,0,0,37,35,0,0,0,0,0,42586,959,37,2372739,0,221,0,41627,253602,145
create new account and deploy contract + load and save empty string on signers address,0,0,0,0,606,606,101273,0,0,16698,22422,74,606,24142,0,0,0,0,679,65,0,0,0,0,1212,8046,1212,679,135744,0,1313931,53387,1212,48886,338
transfer tokens to EVM address + add key to account,0,0,0,9087,2414,0,851797,0,1,30242,1478957,44,0,27832,262993,1,0,0,37,35,0,0,4828,0,0,9087,11501,37,4044445,50673000,1016538,0,13913,67161,566
borrow array from storage + emit event,0,0,0,0,17896,0,0,0,0,51647,0,44,0,291517,0,0,0,0,37,35,0,0,0,0,0,113026,0,37,1020072,0,2050,0,17896,456190,339
load and save empty string on signers address + get signer vault,0,0,0,0,0,0,1286,0,0,10388,0,44,0,17042,0,0,0,0,37,35,0,0,0,0,0,6650,0,37,0,0,1416,1271,0,34080,21
call empty contract function + create new account,0,0,0,0,0,660,0,0,0,8152,0,74,0,16308,0,0,0,0,73,65,0,0,0,0,0,8152,0,73,36300,0,221,0,660,32612,261
transfer tokens + copy array from storage,0,0,0,0,3303,0,122,0,1101,21948,98370,44,0,172882,0,1101,0,0,37,35,0,0,3303,0,0,60123,0,37,204786,0,2446,67,2202,254953,180
get signer receiver,0,0,0,0,0,0,0,0,0,2079,0,44,0,1388,0,0,0,0,37,35,0,0,0,0,0,693,0,37,0,0,1954,0,0,4160,17
load and save empty string on signers address + get account and get available balance,124,0,0,0,0,0,1286,124,0,86192,0,912,0,129168,0,0,0,0,37,35,0,0,0,0,0,42476,0,37,0,0,334854,1271,0,257836,160
transfer tokens + borrow array from storage,0,0,0,0,15483,0,122,0,5161,65809,0,44,0,254277,0,5161,0,0,37,35,0,0,15483,0,0,59389,0,37,959946,0,2446,67,10322,379475,441
create new account and deploy contract + create and destroy EVM bridged account,0,0,0,0,10437,271,126043,0,10166,31311,619987,74,271,51647,0,10166,0,0,344,65,0,0,20332,0,542,10437,10708,344,60704,0,668971,23306,542,93395,329
create new account + get account and get balance,0,0,0,0,0,998,0,0,0,5105,0,12395,0,10214,0,0,0,1369,73,65,0,0,0,0,0,2367,0,73,54890,0,3760643,0,998,17686,563
load and save long string on signers address + get signer address,0,0,0,0,0,0,1327,0,0,31034,0,44,0,61641,0,0,0,0,37,35,0,0,0,0,0,23060,0,37,0,0,1294,1312,0,115735,55
convert int to string and concatenate it + call empty contract function,0,0,0,0,0,0,0,0,0,54607,0,44,0,76846,0,0,0,0,37,35,0,0,0,0,0,38421,0,37,0,0,223,0,0,169874,110
get signer receiver + reference tx,0,0,0,0,0,0,0,0,0,25287,0,44,0,18249,0,0,0,0,37,35,0,0,0,0,0,9816,0,37,0,0,1913,0,0,53352,65
call empty contract function,0,0,0,0,0,0,0,0,0,1461,0,44,0,2924,0,0,0,0,37,35,0,0,0,0,0,1461,0,37,0,0,223,0,0,5846,7
add key to account + borrow array from storage,0,0,0,7042,0,0,0,0,0,31915,514066,44,0,281553,0,0,0,0,37,35,0,0,0,0,0,114028,7042,37,1499946,0,1827,0,7042,427496,460
copy array from storage,0,0,0,0,0,0,0,0,0,8502,85020,44,0,127532,0,0,0,0,37,35,0,0,0,0,0,51012,0,37,0,0,1868,0,0,187046,99
transfer tokens,0,0,0,0,14040,0,122,0,4680,51480,0,44,0,107642,0,4680,0,0,37,35,0,0,14040,0,0,4680,0,37,870480,0,1913,67,9360,163802,251
add and remove key to/from account,0,0,3785,3785,0,0,0,0,0,11355,276305,44,0,11357,0,0,0,0,37,35,0,0,0,0,0,3785,7570,37,1631335,0,0,0,7570,26497,152
copy array from storage and save a duplicate,0,0,0,0,0,0,1608,0,0,516,4300,44,0,2926,0,0,0,0,37,35,0,0,0,0,172,1032,0,37,0,0,3360,1585,0,4474,4
convert int to string + convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,28051,0,44,0,37426,0,0,0,0,37,35,0,0,0,0,0,18711,0,37,0,0,0,0,0,84188,23
load and save empty string on signers address + convert int to string,0,0,0,0,0,0,1286,0,0,74717,0,44,0,130753,0,0,0,0,37,35,0,0,0,0,0,56032,0,37,0,0,1335,1271,0,261502,94
add and remove key to/from account + copy array from storage,0,0,1493,1493,0,0,0,0,0,15831,222509,44,0,174763,0,0,0,0,37,35,0,0,0,0,0,69605,2986,37,643483,0,1868,0,2986,260199,184
get account and get balance,0,0,0,0,0,0,0,0,0,7419,0,22335,0,14840,0,0,0,2473,74,69,0,0,0,0,0,2473,0,74,0,0,6793331,0,0,24732,362
add and remove key to/from account + load and save long string on signers address,0,0,6406,6406,0,0,1327,0,0,51514,467638,44,0,67666,0,0,0,0,37,35,0,0,0,0,0,22554,12812,37,2760986,0,1294,1312,12812,141734,332
convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,61548,0,44,0,61550,0,0,0,0,37,35,0,0,0,0,0,30774,0,37,0,0,0,0,0,153872,45
get account and get available balance + emit event,657,0,0,0,1806,0,0,657,0,11496,0,4643,0,16591,0,0,0,0,37,35,0,0,0,0,0,2463,0,37,102942,0,1767551,0,1806,30550,91
get account and get storage used + load and save long string on signers address,0,0,0,0,0,0,1327,1315,0,3873,0,44,0,6471,0,0,0,0,37,35,0,0,0,0,0,2594,0,37,0,0,1335,1312,0,12938,25
copy array from storage + emit event,0,0,0,0,812,0,0,0,0,4913,32890,44,0,51775,0,0,0,0,37,35,0,0,0,0,0,20546,0,37,46284,0,2048,0,812,77234,51
create new account,0,0,0,0,0,289,0,0,0,289,0,78,0,580,0,0,0,0,74,69,0,0,0,0,0,289,0,74,15895,0,0,0,289,1158,94
decode hex,0,0,0,0,0,0,0,0,0,29536,0,44,0,59074,0,0,0,0,37,35,0,0,0,0,0,29536,29536,37,0,0,0,0,0,118146,163
create and destroy EVM bridged account,0,0,0,0,3455,0,27640,0,3455,10365,207300,44,0,17277,0,3455,0,0,37,35,0,0,6910,0,0,3455,3455,37,0,0,28297,0,0,31097,52
call empty contract function + convert int to string and concatenate it,0,0,0,0,0,0,0,0,0,42026,0,44,0,54382,0,0,0,0,37,35,0,0,0,0,0,27189,0,37,0,0,223,0,0,123597,44
convert int to string + get account and get available balance,2121,0,0,0,0,0,0,2121,0,61540,0,14891,0,108237,0,0,0,0,37,35,0,0,0,0,0,38209,0,37,0,0,5705490,0,0,207986,320
create and destroy EVM bridged account + get public account,0,0,0,0,2189,0,17512,0,2189,8844,131340,44,0,15503,0,2189,0,0,37,35,0,0,4378,0,0,4466,2189,37,0,0,18169,0,0,28813,42
create new account and deploy contract + load and save empty string on signers address,0,0,0,0,345,345,58209,0,0,5351,12765,74,345,7513,0,0,0,0,418,65,0,0,0,0,690,2503,690,418,77280,0,748605,30941,690,15367,287
get account and get available balance + call empty contract function,2468,0,0,0,0,0,0,2468,0,50732,0,17320,0,84192,0,0,0,0,37,35,0,0,0,0,0,23584,0,37,0,0,6639139,0,0,158508,366
copy array from storage and save a duplicate,0,0,0,0,0,0,1608,0,0,27837,231975,44,0,157745,0,0,0,0,37,35,0,0,0,0,9279,55674,0,37,0,0,3401,1585,0,241256,209
load and save long string on signers address + emit event,0,0,0,0,26514,0,1327,0,0,99240,0,44,0,148864,0,0,0,0,37,35,0,0,0,0,0,49620,0,37,1511298,0,1558,1312,26514,297724,294
create new account and deploy contract + add key to account,0,0,0,4033,317,317,52304,0,0,9017,306138,74,317,9021,0,0,0,0,390,65,0,0,0,0,634,4350,4667,390,930037,0,686622,27262,4667,22388,303
mint NFT,0,0,0,0,10428,0,2097434,0,10428,41712,0,44,0,72998,0,0,0,0,37,35,0,0,31284,0,10696,10428,0,37,0,0,274,1482077,0,125138,243
load and save long string on signers address,0,0,0,0,0,0,1327,0,0,25198,0,44,0,37799,0,0,0,0,37,35,0,0,0,0,0,12599,0,37,0,0,1294,1312,0,75596,38
get signer address + load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,3856,0,44,0,6260,0,0,0,0,37,35,0,0,0,0,0,2164,0,37,0,0,1294,1271,0,12280,12
copy array from storage and save a duplicate,0,0,0,0,0,0,1608,0,0,5121,42675,44,0,29021,0,0,0,0,37,35,0,0,0,0,1707,10242,0,37,0,0,3401,1585,0,44384,46
load and save long string on signers address + convert int to string and concatenate it,0,0,0,0,0,0,1327,0,0,37814,0,44,0,39294,0,0,0,0,37,35,0,0,0,0,0,18907,0,37,0,0,1294,1312,0,96015,32
get signer receiver + create new account,0,0,0,0,0,1092,0,0,0,4356,0,74,0,4364,0,0,0,0,73,65,0,0,0,0,0,2180,0,73,60060,0,1913,0,1092,10900,431
get signer vault,0,0,0,0,0,0,0,0,0,12174,0,44,0,24350,0,0,0,0,37,35,0,0,0,0,0,12174,0,37,0,0,1457,0,0,48698,38
borrow array from storage + get account and get storage used,0,0,0,0,0,0,0,8048,0,15880,0,44,0,133580,0,0,0,0,37,35,0,0,0,0,0,55040,0,37,0,0,1827,0,0,204500,165
load and save empty string on signers address + call empty contract function,0,0,0,0,0,0,1286,0,0,65814,0,44,0,113158,0,0,0,0,37,35,0,0,0,0,0,47340,0,37,0,0,1494,1271,0,226312,99
get account and get storage used,0,0,0,0,0,0,0,83,0,83,0,44,0,168,0,0,0,0,37,35,0,0,0,0,0,83,0,37,0,0,0,0,0,334,1
create new account and deploy contract + mint NFT,0,0,0,0,10137,52,2039709,0,10085,40496,1924,74,52,70755,0,0,0,0,125,65,0,0,30255,0,10449,10137,104,125,11648,0,115283,1440482,104,121388,234
get signer receiver,0,0,0,0,0,0,0,0,0,9504,0,44,0,6338,0,0,0,0,37,35,0,0,0,0,0,3168,0,37,0,0,1913,0,0,19010,30
convert int to string,0,0,0,0,0,0,0,0,0,8849,0,44,0,17700,0,0,0,0,37,35,0,0,0,0,0,8849,0,37,0,0,0,0,0,35398,9
