copy array from storage + string toLower,31873,231,1,35,9,81,16,1,0,10,0,1917,2,16,3,26,29,0,1,4,874,0,2,4,69,14,0,3,54290,13,16,68,90,1,124,213,2,0,51363,9,0,5568,0,4,33,0,17,0,13110,0,0,0,1,2622,12,55,291,46,4,0,1855,1,0,63732,56,16,5,28388,0,0,10478,157,62,26645,0,10,0,2235152,0,89,4,53,1074,0,0,0,15,0,8,1230,49,876,136321849,36383128
bool,138939,231,0,34,9,81,16,0,0,10,0,1876,2,16,2,26,26,0,1,4,0,0,2,4,68,14,0,1,2246,12,16,66,90,1,120,211,2,0,46269,9,0,5446,0,4,29,0,17,0,0,0,0,0,0,0,12,51,277,46,4,0,1821,1,0,138935,54,16,5,69486,2,0,10249,155,55,24,0,10,0,4445896,0,89,4,53,1045,0,0,0,9,0,0,1195,49,2,227094590,47585152
get account and get storage capacity + float,23725,86031,0,13762,2583,32685,6022,0,0,4300,0,714889,2,6880,2,7748,9464,0,1,1720,429,0,2,1720,25809,5163,858,2,894057,5160,6022,24949,32694,3433,43880,80863,3863,0,19058360,2583,1716,2059968,0,8584,7753,0,8597,2574,0,429,1716,0,0,0,5160,19787,104101,17206,1720,0,704535,3433,0,47011,18073,6022,863,30602,0,1716,3892347,58499,17217,12894,0,4302,0,1435664,429,32693,1720,18071,394017,0,0,429,870,0,562392,439643,18067,1289,607835700,172964688
get public account + string toLower,40647,231,0,35,9,81,16,0,0,10,0,1889,2,16,2,26,26,0,1,4,0,0,2,4,69,15,0,2,72512,12,16,68,90,1,122,211,5512,0,46348,9,0,5486,0,11024,31,0,17,0,0,0,0,0,0,0,12,52,283,46,4,0,1832,1,0,81284,55,16,5,35150,0,0,10322,155,57,40665,0,10,0,2601040,0,89,4,53,1054,0,0,0,12,0,0,1206,49,2,156922095,80738872
bitwise + function,31348,231,0,34,9,81,16,0,0,10,0,1899,2,16,2,26,27,0,1,4,0,0,2,4,68,14,0,2,2246,12,16,66,91,1,120,214,2,1,46370,9,0,5498,0,4,31,0,17874,0,0,0,0,0,0,0,12,53,281,46,4,0,1836,1,17857,44829,56,16,5,31361,0,0,10347,158,58,24,0,10,0,2005904,0,89,6,54,1053,0,0,0,14,0,323640,1206,49,2,107837111,51024088
ephemeral ref + copy array from storage,58764,231,1,34,9,81,16,1,1,10,0,1924,2,16,3,26,30,0,1,5,2423,0,2,4,69,14,0,3,2672,13,16,67,90,1,123,215,2,0,59145,9,0,5579,0,4,33,0,17,0,36345,0,41795,0,1,7269,12,55,292,46,4,0,1860,1,0,201104,56,16,5,90878,0,0,10503,159,63,2447,0,10,41795,4303152,0,89,5,53,1076,0,0,0,16,0,334368,1231,49,2425,264377173,64013240
convert int to string and concatenate it,36505,231,0,35,9,81,16,0,0,10,0,1871,2,16,2,26,25,0,1,4,0,0,2,4,69,15,0,1,456872,12,16,68,90,1,122,211,2,0,46260,9,0,5449,0,4,29,0,17,0,0,0,0,0,0,0,12,50,278,46,4,0,1821,1,0,73001,54,16,5,19,0,0,10250,155,54,73024,0,10,0,2628008,0,89,4,53,1049,0,0,0,9,0,0,1199,49,2,199334168,82103088
bitwise + emit event,10510,231,0,34,9,81,16,0,0,10,0,1895,2,16,2,26,26,0,1,4,0,0,5258,4,68,15,0,2,2246,12,16,67,90,3,121,213,5260,0,46424,9,0,5492,0,10,31,0,17,1,0,0,0,0,0,0,12,53,282,46,4,0,1835,1,0,15754,55,16,5,10523,0,0,10336,157,57,27,0,10,0,672272,0,89,6,53,1053,0,0,5256,14,0,125968,1204,49,2,37721181,38696744
load and save long string on signers address + bool,156267,231,0,35,9,81,16,0,0,10,0,1895,2,16,2,26,26,0,1,4,22979,0,22981,4,71,16,0,2,2210,14,16,68,90,1,122,212,2,0,460495,9,0,5515,0,4,31,0,17,0,0,0,0,0,0,0,12,53,285,46,4,0,1841,1,0,248177,55,16,5,66659,2,0,10378,156,57,45982,0,10,0,5735632,0,89,4,53,1060,0,0,0,12,0,0,1216,49,45960,300225083,172539592
address + bool,122709,231,0,34,9,81,16,0,0,10,0,1895,2,16,2,26,27,0,1,4,0,0,2,4,68,14,0,2,2166,12,16,66,90,97156,120,212,2,0,46356,9,0,5486,0,4,31,0,17,0,0,0,0,0,0,0,12,53,281,46,4,0,1833,1,0,219860,55,16,5,109948,2,0,10327,156,58,24,0,10,0,7035472,0,89,4,53,1051,0,0,0,13,0,0,1203,49,2,360922203,144329976
