tx,2006,2007,2011,1025,2005,2027,2017,2019,1003,2020,2010,2018,1026,2004,1010,2025,2026,2024,1001,2015,2022,1041,2008,2009,1011,1012,1002,1040,estimated,actual
bool + reference tx,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,131020,8,5,0,0,0,0,0,99415,0,230435,112
dict,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,71446,8,5,0,0,0,0,0,35722,35722,107168,205
reference tx,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,71486,8,5,0,0,0,0,0,71484,0,142970,75
add and remove key to/from account + bool,0,1694,8,1694,0,0,8,0,2541,2394,0,0,61831,847,0,9,0,847,21997,8,5,0,0,0,0,0,10573,0,35111,163
load and save long string on signers address + reference tx,0,0,8,0,0,0,8,0,11972,3468,0,0,0,0,0,9,1189,0,88845,8,5,0,0,0,0,0,76869,0,177686,96
copy array from storage and save a duplicate + get public account,0,0,8,0,617,0,8,0,16482,4534,0,0,15425,0,0,9,1681,0,39755,8,5,0,0,0,0,0,18333,0,74570,119
borrow array from storage,0,0,8,0,0,0,8,0,3099,4124,0,0,0,0,0,9,0,0,46487,8,5,0,0,0,0,0,18594,0,68180,99
convert int to string + bitwise,0,0,8,0,0,0,8,0,58597,2312,0,0,0,0,0,9,0,0,154332,8,5,0,0,0,0,0,77164,0,290093,173
transfer tokens + iteration,0,2358,8,3,0,0,8,0,13269,4240,0,0,300,0,3537,9,225,0,28036,8,5,0,1179,0,3537,1179,1782,0,43087,138
load and save long string on signers address + call empty contract function,0,0,8,0,0,0,8,0,16847,3812,0,0,0,0,0,9,1189,0,31674,8,5,0,0,0,0,0,14823,0,63344,63
get account and get available balance,0,0,5258,0,0,0,5258,750,7500,1709312,0,0,0,0,0,5259,0,0,9752,5258,3005,0,0,750,0,0,750,0,18002,333
path,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,8504,8,5,0,0,0,0,0,4251,0,12755,10
emit event,0,22136,8,0,0,0,8,0,44272,2533,0,0,0,0,22136,9,0,0,66410,8,5,0,0,0,0,0,22136,0,132818,252
bitwise + load and save long string on signers address,0,0,8,0,0,0,8,0,36992,3468,0,0,0,0,0,9,1189,0,151134,8,5,0,0,0,0,0,66317,0,254443,261
ephemeral ref + copy array from storage,0,0,8,0,0,0,8,0,3930,4124,0,0,39300,0,0,9,0,0,178903,8,5,0,0,0,0,0,63563,0,246396,202
reference tx + bitwise,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,187834,8,5,0,0,0,0,0,186540,0,374374,198
character + bool,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,126066,8,5,0,0,0,0,0,63031,0,189097,170
function + get account and get balance,0,0,9818,0,0,0,6003,0,1635,1251452,545,0,0,0,0,9819,0,0,12186,9818,3275,0,0,0,0,0,5546,0,19367,275
convert int to string and concatenate it + copy array from storage,0,0,8,0,0,0,8,0,73800,4124,0,0,26320,0,0,9,0,0,110652,8,5,0,0,0,0,0,51376,0,235828,162
get account and get storage used,0,0,8,0,0,0,8,19251,19251,2312,0,0,0,0,0,9,0,0,38504,8,5,0,0,0,0,0,19251,0,77006,267
create new account and deploy contract,51,102,1028,102,102,51,518,0,153,63441,0,0,1887,0,51,978,8415,0,155,1028,515,0,0,0,0,0,51,0,359,99
convert int to string + ephemeral ref,0,0,8,0,0,0,8,0,47865,2312,0,0,0,0,0,9,0,0,232648,8,5,0,0,0,0,0,93503,0,374016,265
bitwise + get signer receiver,0,0,8,0,0,0,8,0,17616,3932,0,0,0,0,0,9,0,0,17438,8,5,0,0,0,0,0,8717,0,43771,149
convert int to string,0,0,8,0,0,0,8,0,14690,2312,0,0,0,0,0,9,0,0,29382,8,5,0,0,0,0,0,14690,0,58762,35
load and save empty string on signers address + mint NFT,0,0,8,0,1530,0,8,0,13134,6602,0,0,0,0,1492,9,295215,0,21197,8,5,0,1492,0,4476,0,5075,0,39406,103
copy array from storage and save a duplicate + dict,0,0,8,0,2368,0,8,0,7104,4657,0,0,59200,0,0,9,1722,0,46250,8,5,0,0,0,0,0,17203,2995,70557,126
convert int to string,0,0,8,0,0,0,8,0,161479,2394,0,0,0,0,0,9,0,0,322960,8,5,0,0,0,0,0,161479,0,645918,376
dict,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,52254,8,5,0,0,0,0,0,26126,26126,78380,123
borrow array from storage + bitwise,0,0,8,0,0,0,8,0,7592,4001,0,0,0,0,0,9,0,0,138926,8,5,0,0,0,0,0,58073,0,204591,281
array append + address,0,0,8,21523,0,0,8,0,21523,2312,0,0,0,0,0,9,0,0,98646,8,5,0,0,0,0,0,49321,0,169490,221
dict + path,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,263340,8,5,0,0,0,0,0,131668,18027,395008,433
character + get signer vault,0,0,8,0,0,0,8,0,2566,3713,0,0,0,0,0,9,0,0,67676,8,5,0,0,0,0,0,33836,0,104078,111
call empty contract function + get signer address,0,0,8,0,0,0,8,0,1198,2615,0,0,0,0,0,9,0,0,30652,8,5,0,0,0,0,0,15324,0,47174,25
load and save long string on signers address + borrow array from storage,0,0,8,0,0,0,8,0,31445,4124,0,0,0,0,0,9,1189,0,129697,8,5,0,0,0,0,0,49344,0,210486,313
get account and get available balance + add key to account,0,921,488,921,0,0,408,80,2642,187754,0,0,67233,921,0,489,0,0,2886,488,165,0,0,80,0,0,1001,0,6529,126
convert int to string and concatenate it + path,0,0,8,0,0,0,8,0,30084,2394,0,0,0,0,0,9,0,0,100264,8,5,0,0,0,0,0,50130,0,180478,122
get signer receiver + function,0,0,8,0,0,0,8,0,2778,3932,0,0,0,0,0,9,0,0,61296,8,5,0,0,0,0,0,30646,0,94720,86
create new account and deploy contract,110,220,2098,220,220,110,668,0,330,129472,0,0,4070,0,110,1989,18150,0,332,2098,665,0,0,0,0,0,110,0,772,254
add key to account + float,0,2062,8,2062,0,0,8,0,4124,2394,0,0,150526,2062,0,9,0,0,47180,8,5,0,0,0,0,0,23588,0,74892,246
emit event + copy array from storage and save a duplicate,0,25762,8,0,2425,0,8,0,58799,4878,0,0,60625,0,25762,9,1722,0,118515,8,5,0,0,0,0,0,40312,0,217626,501
get signer address + copy array from storage and save a duplicate,0,0,8,0,977,0,8,0,2931,4657,0,0,24425,0,0,9,1722,0,279443,8,5,0,0,0,0,0,137277,0,419651,291
load and save long string on signers address + transfer tokens,0,2638,8,0,0,0,8,0,51953,4117,0,0,0,0,3957,9,1414,0,86507,8,5,0,1319,0,3957,1319,20041,0,158501,330
,0,3,6,0,0,0,6,0,15,4036,0,0,0,0,5,7,226,0,27,6,4,0,2,0,6,2,0,0,42,8
convert int to string and concatenate it + ephemeral ref,0,0,8,0,0,0,8,0,76388,2312,0,0,0,0,0,9,0,0,86292,8,5,0,0,0,0,0,41494,0,204174,144
array append + iteration,0,0,8,16928,0,0,8,0,30986,2394,0,0,14200,0,0,9,0,0,76886,8,5,0,0,0,0,0,45328,0,153200,188
mint NFT,0,0,8,0,1755,0,8,0,6840,5574,0,0,0,0,1710,9,336908,0,11972,8,5,0,1710,0,5130,0,1710,0,20522,86
get account and get balance + get signer receiver,0,0,8748,0,0,0,6563,0,5868,1005536,437,0,0,0,0,8749,0,0,4790,8748,4375,0,0,0,0,0,1956,0,12614,233
function + string toLower,0,0,8,0,0,0,8,0,14397,2312,0,0,0,0,0,9,0,0,105266,8,5,0,0,0,0,0,52631,0,172294,154
bitwise + add and remove key to/from account,0,1952,8,1952,0,0,8,0,2928,2394,0,0,71248,976,0,9,0,976,106768,8,5,0,0,0,0,0,52894,0,162590,295
copy array from storage + array append,0,0,8,6969,0,0,8,0,7023,4001,0,0,540,0,0,9,0,0,14752,8,5,0,0,0,0,0,7293,0,29068,40
iteration,0,0,8,806,0,0,8,0,80600,2394,0,0,80600,0,0,9,0,0,245832,8,5,0,0,0,0,0,162006,0,488438,366
get signer vault + iteration,0,0,8,366,0,0,8,0,37580,3713,0,0,36600,0,0,9,0,0,113594,8,5,0,0,0,0,0,74546,0,225720,167
borrow array from storage,0,0,8,0,0,0,8,0,11644,4124,0,0,0,0,0,9,0,0,174662,8,5,0,0,0,0,0,69864,0,256170,413
iteration + add key to account,0,1538,8,1972,0,0,8,0,46476,2394,0,0,155674,1538,0,9,0,0,135450,8,5,0,0,0,0,0,88772,0,270698,306
emit event,0,2467,8,0,0,0,8,0,4934,2533,0,0,0,0,2467,9,0,0,7403,8,5,0,0,0,0,0,2467,0,14804,20
function + copy array from storage and save a duplicate,0,0,8,0,26,0,8,0,78,4534,0,0,650,0,0,9,1681,0,72878,8,5,0,0,0,0,0,36372,0,109328,88
copy array from storage + emit event,0,9925,8,0,0,0,8,0,27034,4222,0,0,71840,0,9925,9,0,0,137539,8,5,0,0,0,0,0,53029,0,217602,918
dict + get account and get storage capacity,0,0,1004,0,0,0,838,0,830,387016,0,166,0,0,0,1005,0,0,27198,1004,337,0,0,0,0,0,13348,13182,41376,215
bool + get signer address,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,343768,8,5,0,0,0,0,0,171882,0,515650,256
emit event,0,10617,8,0,0,0,8,0,21234,2615,0,0,0,0,10617,9,0,0,31853,8,5,0,0,0,0,0,10617,0,63704,80
add and remove key to/from account,0,3812,8,3812,0,0,8,0,5718,2312,0,0,139138,1906,0,9,0,1906,5720,8,5,0,0,0,0,0,1906,0,13344,250
add and remove key to/from account + get signer vault,0,2252,8,2252,0,0,8,0,19958,3713,0,0,82198,1126,0,9,0,1126,36542,8,5,0,0,0,0,0,17706,0,74206,307
iteration + dict,0,0,8,155,0,0,8,0,15500,2312,0,0,15500,0,0,9,0,0,60867,8,5,0,0,0,0,0,37949,6794,114316,156
get signer receiver,0,0,8,0,0,0,8,0,32445,4055,0,0,0,0,0,9,0,0,21632,8,5,0,0,0,0,0,10815,0,64892,217
path + call empty contract function,0,0,8,0,0,0,8,0,59434,2463,0,0,0,0,0,9,0,0,128874,8,5,0,0,0,0,0,64435,0,252743,227
path,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,332328,8,5,0,0,0,0,0,166163,0,498491,311
bool + iteration,0,0,8,247,0,0,8,0,24700,2312,0,0,24700,0,0,9,0,0,226593,8,5,0,0,0,0,0,125274,0,376567,318
create new account + get account and get storage capacity,86,86,2174,0,0,0,1039,0,601,241045,0,103,0,0,0,2175,0,0,691,2174,727,0,0,0,0,0,189,0,1481,168
load and save long string on signers address + emit event,0,24852,8,0,0,0,8,0,97986,3812,0,0,0,0,24852,9,1189,0,146983,8,5,0,0,0,0,0,48993,0,293962,460
bool,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,63628,8,5,0,0,0,0,0,31813,0,95441,75
reference tx + get account and get balance,0,0,3998,0,0,0,3158,0,630,492324,210,0,0,0,0,3999,0,0,190152,3998,2105,0,0,0,0,0,189518,0,380300,280
load and save long string on signers address + convert int to string,0,0,8,0,0,0,8,0,122477,3489,0,0,0,0,0,9,1155,0,221832,8,5,0,0,0,0,0,99351,0,443660,317
get signer vault + get account and get balance,0,0,11531,0,0,0,11531,0,11372,1151882,501,0,0,0,0,11532,0,0,21746,11531,9023,0,0,0,0,0,10370,0,43488,482
get public account,0,0,8,0,0,0,8,0,6593,2312,0,0,0,0,0,9,0,0,13188,8,5,0,0,0,0,0,6593,0,26374,25
add and remove key to/from account + bool,0,1062,8,1062,0,0,8,0,1593,2394,0,0,38763,531,0,9,0,531,16083,8,5,0,0,0,0,0,7774,0,25450,100
string toLower + dict,0,0,8,0,0,0,8,0,69249,2394,0,0,0,0,0,9,0,0,204174,8,5,0,0,0,0,0,102085,32836,375508,492
copy array from storage and save a duplicate,0,0,8,0,459,0,8,0,1377,4534,0,0,11475,0,0,9,1681,0,7805,8,5,0,0,0,0,0,2754,0,11936,27
array append,0,0,8,10001,0,0,8,0,10001,2312,0,0,0,0,0,9,0,0,20004,8,5,0,0,0,0,0,10001,0,40006,45
convert int to string and concatenate it,0,0,8,0,0,0,8,0,274420,2394,0,0,0,0,0,9,0,0,274422,8,5,0,0,0,0,0,137210,0,686052,4188
function + convert int to string and concatenate it,0,0,8,0,0,0,8,0,18996,2312,0,0,0,0,0,9,0,0,142624,8,5,0,0,0,0,0,71310,0,232930,172
get account and get storage used + convert int to string,0,0,8,0,0,0,8,1850,71689,2312,0,0,0,0,0,9,0,0,143382,8,5,0,0,0,0,0,71689,0,286760,191
bitwise + create new account and deploy contract,33,66,635,66,66,33,206,0,99,41895,0,0,1221,0,33,603,5444,0,1501,635,203,0,0,0,0,0,732,0,2332,93
path + copy array from storage,0,0,8,0,0,0,8,0,355,3833,0,0,3550,0,0,9,0,0,87275,8,5,0,0,0,0,0,43103,0,130733,86
load and save empty string on signers address,0,0,8,0,0,0,8,0,3634,3468,0,0,0,0,0,9,1148,0,5453,8,5,0,0,0,0,0,1817,0,10904,15
copy array from storage and save a duplicate,0,0,8,0,7727,0,8,0,23181,4657,0,0,193175,0,0,9,1722,0,131361,8,5,0,0,0,0,0,46362,0,200904,426
copy array from storage and save a duplicate,0,0,8,0,3399,0,8,0,10197,4534,0,0,84975,0,0,9,1681,0,57785,8,5,0,0,0,0,0,20394,0,88376,164
get account and get available balance,0,0,1520,0,0,0,1268,252,2520,575864,0,0,0,0,0,1521,0,0,3278,1520,509,0,0,252,0,0,252,0,6050,100
bool + load and save long string on signers address,0,0,8,0,0,0,8,0,37562,3591,0,0,0,0,0,9,1189,0,154907,8,5,0,0,0,0,0,68061,0,260530,194
get account and get available balance + transfer tokens,0,3546,2750,0,0,0,2293,457,24073,1063109,0,0,0,0,5319,2751,225,0,46724,2750,919,0,1773,457,5319,1773,2230,0,73027,424
get account and get storage capacity + float,0,0,1130,0,0,0,943,0,935,427924,0,187,0,0,0,1131,0,0,18037,1130,379,0,0,0,0,0,8736,0,27708,176
